# Attack Table — Military Fork
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Military Fork
@attack_table:    armory.military_fork
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 12EP 14EP 16EP 18EP 24EP 24EP 27EP 27EP 24EP 26EP 30EP 30EP 24EP 24EP 29EP 32EP 26EP 29EP 32EP 34EP
145-147 | 12EP 14EP 16EP 18EP 24EP 24EP 27EP 27EP 24EP 26EP 29EP 29EP 24EP 24EP 29EP 31EP 26EP 28EP 32EP 33EP
142-144 | 12DP 14DP 16EP 17EP 23EP 23EP 26EP 26EP 23EP 25EP 28EP 28EP 23EP 23EP 28EP 30EP 25EP 27EP 31EP 32EP
139-141 | 12CP 13DP 15DP 17EP 23DP 22EP 25EP 25EP 22EP 24EP 27EP 27EP 23EP 23EP 27EP 29EP 24EP 26EP 30EP 31EP
136-138 | 11CP 13CP 15DP 16DP 22DP 22DP 24DP 24EP 22DP 23DP 26EP 26EP 22DP 22EP 26EP 28EP 23DP 25DP 29EP 30DP
133-135 | 11BP 13CP 14CP 16DP 21DP 21DP 23DP 23DP 21DP 22DP 25DP 25DP 21DP 21DP 25DP 27DP 22DP 24DP 28DP 29DP
130-132 | 11BP 12BP 14CP 15DP 21CP 21DP 22DP 23DP 20DP 21DP 25DP 24DP 21DP 21DP 25DP 27DP 21DP 24DP 27DP 28DP
127-129 | 10AP 12BP 13CP 15CP 20CP 20CP 21CP 21DP 19DP 20DP 23DP 23DP 20DP 20DP 23DP 25DP 20CP 22DP 26DP 26DP
124-126 | 10 12AP 13BP 14CP 19CP 19CP 20CP 21DP 19CP 19CP 22DP 22DP 20CP 19DP 23DP 24DP 19CP 21CP 25DP 25CP
121-123 | 10 11AP 12BP 13CP 19BP 18CP 19CP 20CP 18CP 18CP 21CP 21DP 19CP 19CP 22DP 23DP 18CP 20CP 24DP 24CP
118-120 | 9 10 11AP 12BP 18BP 17BP 18CP 18CP 17CP 17CP 20CP 19CP 18CP 18CP 20CP 22CP 17BP 19CP 23CP 22CP
115-117 | 9 10 11AP 12BP 17BP 17BP 17BP 18CP 16BP 16CP 19CP 18CP 17CP 17CP 19CP 21CP 16BP 18BP 22CP 21CP
112-114 | 9 10 10AP 11BP 16AP 16BP 16BP 17CP 15BP 15BP 18CP 17CP 17BP 16CP 19CP 20CP 15BP 17BP 21CP 20BP
109-111 | 8 9 10 11AP 16AP 15AP 15BP 16BP 14BP 14BP 17BP 16CP 16BP 16BP 18CP 19CP 14BP 16BP 20CP 19BP
106-108 | 8 9 9 10AP 15AP 14AP 14AP 15BP 14BP 13BP 16BP 15CP 15BP 15BP 17BP 17CP 13AP 15BP 19BP 18BP
103-105 | 8 8 9 10AP 14 14AP 13AP 14BP 13AP 12BP 15BP 14BP 15BP 14BP 16BP 16BP 12AP 14AP 18BP 17BP
100-102 | 7 8 8 9 14 13 12AP 13BP 12AP 11AP 14BP 13BP 14AP 14BP 15BP 15BP 11AP 13AP 17BP 16AP
97-99 | 7 8 8 8 13 12 11AP 12AP 11AP 10AP 13BP 12BP 14AP 13AP 14BP 14BP 10 12AP 16BP 14AP
94-96 | 7 7 7 8 12 12 11 11AP 11AP 9AP 12AP 11BP 13AP 12AP 13BP 13BP 9 11AP 15BP 13AP
91-93 | 7 7 7 7 12 11 10 11AP 10 9AP 11AP 9BP 12AP 12AP 13AP 12BP 8 10 15AP 12AP
88-90 | 6 7 7 7 11 10 9 10AP 9 8 10AP 8AP 12 11AP 12AP 11AP 7 9 14AP 11AP
85-87 | 6 6 6 6 10 10 8 9 8 7 9AP 7AP 11 10AP 11AP 10AP 6 8 13AP 10
82-84 | 6 6 6 6 10 9 7 8 8 6 8 6AP 11 10 10AP 9AP 5 - 12AP -
79-81 | 5 5 5 5 9 8 6 7 7 5 7 5AP 10 9 9 8AP 4 - 11AP -
76-78 | 5 5 5 4 8 8 5 6 6 4 6 4AP 9 8 8 7AP - - 10 -
73-75 | 5 5 4 4 8 7 4 5 5 3 5 3 9 8 7 6 - - 9 -
70-72 | 5 4 4 3 7 6 3 5 5 - 4 - 8 7 6 5 - - - -
67-69 | 4 4 3 3 7 6 2 4 4 - - - 7 7 6 - - - - -
64-66 | 4 4 3 2 6 5 - 3 3 - - - 7 6 - - - - - -
61-63 | 4 3 2 2 5 4 - 2 - - - - 6 5 - - - - - -
58-60 | 3 3 2 1 5 4 - - - - - - 6 - - - - - - -
55-57 | 3 2 1 - 4 3 - - - - - - 5 - - - - - - -
52-54 | 3 2 - - 3 2 - - - - - - - - - - - - - -
49-51 | 3 2 - - 3 - - - - - - - - - - - - - - -
46-48 | 2 1 - - 2 - - - - - - - - - - - - - - -
43-45 | 2 1 - - - - - - - - - - - - - - - - - -
40-42 | 2 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
