# Attack Table — Mullet
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Mullet
@attack_table:    armory.mullet
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 1AD 1BD 2CD 3DD 3BD 3CD 5DD 5DD 2CD 3DD 5DD 5DD 3DD 4DD 5DD 6DD 3DD 5DD 6DD 7DD
145-147 | 1 1AD 2BD 3DD 3AD 3CD 5DD 5DD 2CD 3DD 5DD 5DD 3DD 4DD 5DD 6DD 3DD 5DD 6DD 7DD
142-144 | 1 1 2AD 3CD 3AD 3BD 5DD 5DD 2CD 3DD 5DD 5DD 3DD 4DD 5DD 6DD 3DD 5DD 6DD 7DD
139-141 | 1 1 2 3BD 3 3BD 5CD 5CD 2BD 3CD 5CD 5DD 3CD 4DD 5DD 6DD 3CD 5CD 6DD 7DD
136-138 | 1 1 2 3BD 3 3AD 5CD 5CD 2BD 3CD 5CD 5CD 3CD 4CD 5CD 6CD 3CD 5CD 6CD 6CD
133-135 | 1 1 2 3AD 3 3AD 5BD 5BD 2AD 3BD 5CD 5CD 3CD 4CD 5CD 5CD 3BD 4CD 5CD 6CD
130-132 | 1 1 2 3AD 3 3 5BD 5BD 2AD 3BD 5BD 5CD 3BD 4CD 5CD 5CD 3BD 4BD 5CD 6CD
127-129 | 1 1 2 3 3 3 5AD 4BD 2 3BD 4BD 4CD 3BD 4BD 4CD 5CD 3AD 4BD 5CD 5BD
124-126 | 1 1 2 3 3 3 4AD 4AD 2 3AD 4BD 4BD 3BD 4BD 4BD 5BD 3AD 4BD 5BD 5BD
121-123 | 1 1 2 3 3 3 4 4AD 2 3AD 4AD 4BD 3AD 4BD 4BD 5BD 3AD 4AD 5BD 5BD
118-120 | 1 1 2 2 2 2 4 4 2 2 3AD 3BD 2AD 3AD 4BD 4BD 2 3AD 4BD 4AD
115-117 | 1 1 2 2 2 2 3 3 2 2 3AD 3AD 2AD 3AD 3AD 4BD 2 3AD 4BD 4AD
112-114 | 1 1 2 2 2 2 3 3 2 2 3 3AD 2 3AD 3AD 4AD 2 3 3AD 3AD
109-111 | 1 1 2 2 2 2 3 3 2 2 3 3AD 2 3 3AD 3AD 2 2 3AD 3
106-108 | 1 1 2 2 2 2 3 3 1 2 3 3AD 2 3 3AD 3AD 2 2 3AD 3
103-105 | 1 1 2 2 2 2 3 3 1 2 3 2 2 2 3 3AD 2 2 3AD 3
100-102 | 1 1 1 2 2 2 3 3 1 2 2 2 2 2 3 3AD 2 2 3 2
97-99 | 1 1 1 2 2 2 3 2 1 2 2 2 2 2 2 3 1 2 2 2
94-96 | 1 1 1 2 2 2 2 2 1 1 2 2 2 2 2 2 1 1 2 2
91-93 | 1 1 1 2 2 2 2 2 1 1 2 2 2 2 2 2 1 1 2 1
88-90 | 1 1 1 2 2 2 2 2 1 1 2 2 2 2 2 2 1 1 2 1
85-87 | 1 1 1 2 2 2 2 2 1 1 2 1 2 2 2 2 1 - 2 -
82-84 | 1 1 1 1 2 2 2 2 1 1 1 1 2 2 2 2 - - 1 -
79-81 | 1 1 1 1 2 1 2 2 1 1 1 1 1 2 2 1 - - 1 -
76-78 | 1 1 1 1 1 1 2 1 1 - 1 - 1 1 1 1 - - - -
73-75 | 1 1 1 1 1 1 1 1 1 - 1 - 1 1 1 1 - - - -
70-72 | 1 1 1 1 1 1 1 1 1 - - - 1 1 1 - - - - -
67-69 | 1 1 1 1 1 1 1 - - - - - 1 1 - - - - - -
64-66 | 1 1 1 1 1 1 1 - - - - - 1 1 - - - - - -
61-63 | 1 1 1 - 1 1 - - - - - - 1 - - - - - - -
58-60 | 1 1 1 - 1 1 - - - - - - 1 - - - - - - -
55-57 | 1 1 - - 1 - - - - - - - - - - - - - - -
