# Attack Table — Nagamaki
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Nagamaki
@attack_table:    armory.nagamaki
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 11ES 13ES 15ES 17ES 20ES 20ES 23ES 23ES 23ES 25ES 29ES 29ES 27ES 27ES 32ES 35ES 29ES 32ES 35ES 37ES
145-147 | 11ES 13ES 15ES 17ES 20ES 20ES 23ES 23ES 23ES 25ES 29ES 29ES 27ES 27ES 32ES 34ES 28ES 31ES 35ES 36ES
142-144 | 11DS 13ES 15ES 16ES 19ES 19ES 22ES 22ES 22ES 24ES 28ES 28ES 26ES 26ES 31ES 33ES 27ES 30ES 34ES 35ES
139-141 | 11DS 12DS 14DS 16ES 19DS 19ES 21ES 21ES 21ES 23ES 27ES 27ES 25ES 25ES 30ES 32ES 26ES 29ES 33ES 34ES
136-138 | 10CS 12DS 14DS 15DS 18DS 18DS 21DS 21ES 21DS 22ES 26ES 26ES 25ES 25ES 29ES 31ES 25DS 28ES 32ES 33ES
133-135 | 10CS 12CS 13DS 15DS 18DS 18DS 20DS 20DS 20DS 21DS 25DS 25ES 24DS 24DS 28ES 30ES 24DS 27DS 31ES 31DS
130-132 | 10CS 12CS 13DS 14DS 17DS 17DS 20DS 19DS 19DS 21DS 24DS 24DS 24DS 23DS 27DS 29DS 23DS 26DS 30DS 31DS
127-129 | 10BS 11BS 12CS 14DS 17CS 17CS 19DS 18DS 19DS 19DS 23DS 23DS 23DS 22DS 26DS 28DS 22DS 25DS 29DS 29DS
124-126 | 9AS 11BS 12CS 13CS 16CS 16CS 18CS 18DS 18CS 18DS 22DS 22DS 22DS 22DS 25DS 27DS 21CS 24DS 28DS 28DS
121-123 | 9AS 10BS 12BS 13CS 16BS 15CS 17CS 17CS 17CS 18CS 21DS 21DS 21CS 21DS 24DS 26DS 20CS 22CS 27DS 27CS
118-120 | 8 10AS 11BS 12CS 15BS 14BS 16CS 16CS 16CS 16CS 19CS 19DS 20CS 20CS 22DS 24DS 18CS 21CS 25DS 25CS
115-117 | 8 9AS 10BS 11BS 14BS 14BS 15BS 15CS 15CS 15CS 18CS 18CS 19CS 19CS 22CS 23CS 17CS 20CS 24CS 24CS
112-114 | 8 9 10AS 11BS 14AS 13BS 15BS 14CS 15BS 14CS 17CS 17CS 19CS 18CS 21CS 22CS 16BS 19CS 23CS 22CS
109-111 | 8 9 9AS 10BS 13AS 13BS 14BS 13BS 14BS 14BS 16CS 16CS 18CS 17CS 20CS 21CS 15BS 17BS 22CS 21CS
106-108 | 7 8 9AS 10BS 12AS 12AS 13BS 13BS 13BS 13BS 15BS 15CS 17BS 17CS 19CS 20CS 14BS 16BS 21CS 20BS
103-105 | 7 8 8 9AS 12 11AS 13AS 12BS 12BS 12BS 14BS 14CS 17BS 16BS 18CS 19CS 13BS 15BS 20CS 19BS
100-102 | 7 8 8 8AS 11 11AS 12AS 11BS 12AS 11BS 13BS 13BS 16BS 15BS 17BS 18BS 12AS 14BS 19BS 18BS
97-99 | 7 7 7 8AS 11 10 11AS 10BS 11AS 10BS 12BS 12BS 15BS 15BS 16BS 17BS 11AS 13AS 18BS 16BS
94-96 | 6 7 7 7AS 10 10 10AS 10AS 10AS 9AS 11BS 11BS 14AS 14BS 15BS 16BS 10AS 12AS 17BS 15AS
91-93 | 6 6 7 7 10 9 10 9AS 10AS 8AS 10AS 10BS 14AS 13AS 14BS 15BS 9AS 11AS 16BS 14AS
88-90 | 6 6 6 6 9 9 9 8AS 9 7AS 10AS 9BS 13AS 12AS 13BS 14BS 8 10AS 15BS 13AS
85-87 | 6 6 6 6 9 8 8 7AS 8 7AS 9AS 8BS 12AS 12AS 12AS 13BS 7 8 14AS 11AS
82-84 | 5 5 5 5 8 7 8 7 7 6 8AS 7AS 12AS 11AS 11AS 11AS 5 7 13AS 10AS
79-81 | 5 5 5 5 8 7 7 6 7 5 7AS 6AS 11 10AS 10AS 10AS 4 - 12AS 9
76-78 | 5 5 4 4 7 6 6 5 6 4 6 5AS 10 9 9AS 9AS - - 11AS -
73-75 | 4 4 4 4 7 6 6 4 5 3 5 4AS 10 9 8AS 8AS - - 10AS -
70-72 | 4 4 4 3 6 5 5 4 5 - 4 3AS 9 8 7 7AS - - 9 -
67-69 | 4 4 3 3 5 5 4 3 4 - - - 8 7 6 6 - - - -
64-66 | 4 3 3 2 5 4 3 2 3 - - - 8 6 5 5 - - - -
61-63 | 3 3 2 2 4 4 3 - - - - - 7 6 - - - - - -
58-60 | 3 3 2 1 4 3 2 - - - - - 6 5 - - - - - -
55-57 | 3 2 1 - 3 2 - - - - - - 5 - - - - - - -
52-54 | 3 2 - - 3 - - - - - - - - - - - - - - -
49-51 | 2 2 - - 2 - - - - - - - - - - - - - - -
46-48 | 2 1 - - - - - - - - - - - - - - - - - -
43-45 | 2 1 - - - - - - - - - - - - - - - - - -
40-42 | 2 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
