# Attack Table — Naginata
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Naginata
@attack_table:    armory.naginata
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 05
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 8ES 10ES 12ES 14ES 17ES 17ES 20ES 20ES 18ES 20ES 24ES 24ES 22ES 22ES 27ES 30ES 25ES 28ES 31ES 33ES
145-147 | 8ES 10ES 12ES 14ES 17ES 17ES 20ES 20ES 18ES 20ES 24ES 24ES 22ES 22ES 27ES 30ES 25ES 28ES 31ES 32ES
142-144 | 8DS 10DS 12ES 14ES 17ES 17ES 19ES 19ES 17ES 19ES 23ES 23ES 21ES 21ES 26ES 29ES 24ES 27ES 30ES 31ES
139-141 | 8CS 10DS 11DS 13ES 16DS 16ES 19ES 19ES 17ES 18ES 22ES 22ES 21ES 21ES 25ES 28ES 23ES 26ES 29ES 30ES
136-138 | 8CS 9CS 11DS 13DS 16DS 16DS 18DS 18ES 16DS 18ES 21ES 21ES 20DS 20ES 24ES 27ES 22DS 25DS 28ES 29ES
133-135 | 8BS 9CS 11CS 12DS 15DS 15DS 17DS 17DS 16DS 17DS 21DS 20ES 20DS 20DS 24DS 26DS 21DS 24DS 27DS 28DS
130-132 | 7BS 9BS 11CS 12DS 15DS 15DS 17DS 17DS 15DS 17DS 20DS 20DS 19DS 19DS 23DS 25DS 20DS 23DS 27DS 27DS
127-129 | 7AS 9BS 10CS 12CS 14CS 14CS 16DS 16DS 15DS 16DS 19DS 19DS 19DS 18DS 22DS 24DS 19CS 22DS 25DS 26DS
124-126 | 7 8AS 10BS 11CS 14CS 14CS 16CS 15DS 14CS 15DS 18DS 18DS 18CS 18DS 21DS 23DS 18CS 21CS 25DS 25DS
121-123 | 7 8AS 9BS 11CS 13BS 13CS 15CS 15CS 14CS 14CS 18CS 17DS 17CS 17CS 20DS 22DS 17CS 20CS 24DS 24CS
118-120 | 6 8 9AS 10BS 12BS 12BS 14CS 14CS 13CS 13CS 16CS 16DS 16CS 16CS 19CS 21CS 16CS 18CS 22CS 22CS
115-117 | 6 7 8AS 9BS 12BS 12BS 13BS 13CS 12CS 13CS 15CS 15CS 16CS 16CS 18CS 20CS 15BS 17CS 22CS 21CS
112-114 | 6 7 8AS 9BS 11AS 11BS 13BS 12CS 12BS 12CS 15CS 14CS 15BS 15CS 17CS 19CS 14BS 17BS 21CS 20CS
109-111 | 6 7 8 9AS 11AS 11BS 12BS 12BS 11BS 11BS 14CS 13CS 15BS 14BS 17CS 18CS 13BS 16BS 20CS 19BS
106-108 | 6 7 7 8AS 10AS 10AS 11BS 11BS 11BS 11BS 13BS 12CS 14BS 14BS 16BS 17CS 12AS 15BS 19CS 18BS
103-105 | 5 6 7 8AS 10 10AS 11AS 10BS 10AS 10BS 12BS 12CS 14BS 13BS 15BS 16BS 11AS 14BS 18BS 17BS
100-102 | 5 6 7 7 10 9AS 10AS 10BS 9AS 9BS 12BS 11BS 13AS 13BS 14BS 15BS 11AS 13AS 17BS 16BS
97-99 | 5 6 6 7 9 9 10AS 9BS 9AS 9AS 11BS 10BS 13AS 12BS 14BS 14BS 10AS 12AS 16BS 15AS
94-96 | 5 6 6 6 9 8 9AS 8AS 8AS 8AS 10AS 9BS 12AS 11AS 13BS 13BS 9 11AS 15BS 14AS
91-93 | 5 5 6 6 8 8 8 8AS 8 7AS 9AS 8BS 11AS 11AS 12AS 12BS 8 10AS 15BS 13AS
88-90 | 4 5 5 6 8 7 8 7AS 7 7AS 8AS 8BS 11AS 10AS 11AS 11AS 7 9 14AS 12AS
85-87 | 4 5 5 5 7 7 7 6AS 7 6 8AS 7AS 10 10AS 10AS 11AS 6 8 13AS 11AS
82-84 | 4 5 5 5 7 6 7 6 6 5 7AS 6AS 10 9 10AS 10AS 5 7 12AS 9
79-81 | 4 4 4 4 6 6 6 5 6 4 6 5AS 9 9 9AS 9AS 4 6 11AS 8
76-78 | 4 4 4 4 6 5 5 4 5 4 5 4AS 9 8 8 8AS 3 - 10AS -
73-75 | 4 4 4 4 5 5 5 4 5 3 5 3AS 8 7 7 7AS - - 9 -
70-72 | 3 4 3 3 5 4 4 3 4 2 4 3 8 7 6 6 - - 9 -
67-69 | 3 3 3 3 4 4 3 3 4 - 3 - 7 6 6 5 - - - -
64-66 | 3 3 3 2 4 3 3 2 3 - 2 - 6 6 5 4 - - - -
61-63 | 3 3 2 2 3 3 2 1 3 - - - 6 5 4 - - - - -
58-60 | 3 3 2 1 3 2 2 - 2 - - - 5 4 - - - - - -
55-57 | 2 2 2 1 3 2 1 - - - - - 5 - - - - - - -
52-54 | 2 2 1 - 2 1 - - - - - - 4 - - - - - - -
49-51 | 2 2 - - 2 - - - - - - - - - - - - - - -
46-48 | 2 2 - - 1 - - - - - - - - - - - - - - -
43-45 | 2 1 - - - - - - - - - - - - - - - - - -
40-42 | 2 1 - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
31-33 | 1 - - - - - - - - - - - - - - - - - - -
