# Attack Table — Ninjato
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Ninjato
@attack_table:    armory.ninjato
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 03
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 6ES 6ES 7ES 12ES 10ES 10ES 13ES 13ES 15ES 17ES 21ES 21ES 19ES 19ES 24ES 27ES 22ES 24ES 27ES 29ES
145-147 | 6ES 6ES 7ES 12ES 10ES 10ES 13ES 13ES 15ES 17ES 21ES 21ES 19ES 19ES 24ES 27ES 22ES 24ES 27ES 29ES
142-144 | 6DS 6ES 7ES 12ES 10ES 10ES 13ES 13ES 15ES 16ES 20ES 20ES 19ES 19ES 23ES 26ES 21ES 23ES 26ES 28ES
139-141 | 6DS 6DS 7DS 11ES 10DS 10ES 12ES 12ES 14ES 16ES 19ES 19ES 18ES 18ES 23ES 25ES 20ES 22ES 26ES 27ES
136-138 | 6CS 6DS 7DS 11DS 9DS 9DS 12DS 12ES 14DS 15ES 19ES 19ES 18ES 18ES 22ES 24ES 20DS 22ES 25ES 26ES
133-135 | 6CS 6CS 7DS 11DS 9DS 9DS 12DS 11DS 13DS 15DS 18DS 18DS 17DS 17DS 21ES 24ES 19DS 21DS 24ES 25DS
130-132 | 6BS 6CS 6DS 11DS 9CS 9DS 11DS 11DS 13DS 14DS 18DS 17DS 17DS 17DS 21DS 23DS 19DS 21DS 24DS 25DS
127-129 | 6BS 6BS 6CS 10DS 9CS 9CS 11DS 11DS 12DS 14DS 17DS 17DS 16DS 16DS 20DS 22DS 18DS 20DS 23DS 24DS
124-126 | 5AS 5BS 6CS 10CS 8CS 8CS 10CS 10DS 12CS 13DS 16DS 16DS 16DS 16DS 19DS 21DS 17CS 19DS 22DS 23DS
121-123 | 5AS 5AS 6BS 9CS 8BS 8CS 10CS 10CS 12CS 12CS 15DS 15DS 16CS 15DS 19DS 21DS 16CS 18CS 22DS 22DS
118-120 | 5 5AS 5BS 9CS 7BS 7BS 9CS 9CS 11CS 11CS 14CS 14CS 15CS 14CS 18DS 19DS 15CS 17CS 21DS 21CS
115-117 | 5 5AS 5BS 8BS 7BS 7BS 9BS 9CS 10CS 11CS 14CS 13CS 14CS 14CS 17CS 18DS 14CS 16CS 20CS 20CS
112-114 | 5 4 5AS 8BS 7AS 7BS 8BS 8CS 10BS 10CS 13CS 12CS 14CS 14CS 16CS 18CS 14BS 16CS 19CS 19CS
109-111 | 4 4 5AS 7BS 7AS 6BS 8BS 8CS 9BS 10BS 12CS 12CS 13CS 13CS 16CS 17CS 13BS 15BS 19CS 19CS
106-108 | 4 4 4AS 7BS 6AS 6AS 8BS 7BS 9BS 9BS 12BS 11CS 13BS 13CS 15CS 16CS 12BS 14BS 18CS 18CS
103-105 | 4 4 4 7AS 6 6AS 7AS 7BS 9AS 8BS 11BS 10BS 13BS 12BS 14CS 15CS 11BS 13BS 17CS 17BS
100-102 | 4 4 4 6AS 6 6AS 7AS 7BS 8AS 8BS 10BS 10BS 12BS 12BS 14BS 15CS 11AS 13BS 17CS 16BS
97-99 | 4 4 4 6AS 6 5 7AS 6BS 8AS 7AS 10BS 9BS 12BS 11BS 13BS 14BS 10AS 12AS 16BS 15BS
94-96 | 4 4 4 6AS 5 5 6AS 6AS 7AS 7AS 9BS 8BS 11AS 11BS 13BS 13BS 9AS 11AS 15BS 14BS
91-93 | 4 3 4 5 5 5 6 5AS 7 6AS 8AS 7BS 11AS 10BS 12BS 12BS 9AS 11AS 15BS 14BS
88-90 | 4 3 3 5 5 5 5 5AS 6 6AS 8AS 7AS 10AS 10AS 11BS 11BS 8 10AS 14BS 13AS
85-87 | 3 3 3 5 5 4 5 5AS 6 5AS 7AS 6AS 10AS 9AS 11BS 11BS 7 9AS 13BS 12AS
82-84 | 3 3 3 4 4 4 5 4AS 5 4 6AS 5AS 9AS 9AS 10AS 10BS 7 9 13AS 11AS
79-81 | 3 3 3 4 4 4 4 4 5 4 6AS 5AS 9 9AS 9AS 9AS 6 8 12AS 10AS
76-78 | 3 3 3 4 4 4 4 3 5 3 5 4AS 9 8AS 9AS 8AS 5 7 11AS 10AS
73-75 | 3 3 3 3 4 3 4 3 4 3 4 3 8 8 8AS 8AS 4 6 11AS 9
70-72 | 3 2 2 3 3 3 3 3 4 2 4 2 8 7 7AS 7AS 4 - 10AS 8
67-69 | 3 2 2 3 3 3 3 2 3 - 3 - 7 7 7 6AS 3 - 10AS -
64-66 | 3 2 2 2 3 2 2 2 3 - 2 - 7 6 6 5AS - - 9 -
61-63 | 2 2 2 2 3 2 2 1 2 - - - 6 6 5 5 - - 8 -
58-60 | 2 2 2 2 2 2 2 1 2 - - - 6 5 5 - - - - -
55-57 | 2 2 1 1 2 2 1 - - - - - 6 5 4 - - - - -
52-54 | 2 2 1 - 2 1 - - - - - - 5 4 - - - - - -
49-51 | 2 2 1 - 2 1 - - - - - - 5 4 - - - - - -
46-48 | 2 1 - - 1 - - - - - - - 4 - - - - - - -
43-45 | 2 1 - - 1 - - - - - - - - - - - - - - -
40-42 | 2 1 - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
31-33 | 1 - - - - - - - - - - - - - - - - - - -
28-30 | 1 - - - - - - - - - - - - - - - - - - -
