# Attack Table — No Dachi
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            No Dachi
@attack_table:    armory.no_dachi
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 12ES 12ES 13ES 18ES 19ES 19ES 22ES 22ES 27ES 29ES 33ES 33ES 31ES 31ES 36ES 39ES 33ES 36ES 39ES 41ES
145-147 | 12ES 12ES 13ES 18ES 19ES 19ES 22ES 22ES 27ES 28ES 32ES 32ES 31ES 31ES 35ES 38ES 32ES 35ES 38ES 40ES
142-144 | 12ES 12ES 13ES 17ES 18ES 18ES 21ES 21ES 26ES 27ES 31ES 31ES 30ES 30ES 34ES 37ES 31ES 34ES 37ES 39ES
139-141 | 12DS 12DS 12ES 17ES 18ES 18ES 20ES 20ES 25ES 26ES 30ES 30ES 29ES 29ES 33ES 36ES 30ES 33ES 36ES 37ES
136-138 | 11DS 11DS 12DS 16DS 17DS 17DS 20DS 20ES 24ES 25ES 29ES 29ES 28ES 28ES 32ES 35ES 28ES 31ES 35ES 36ES
133-135 | 11CS 11DS 12DS 16DS 17DS 17DS 19DS 19DS 23DS 24DS 28DS 28ES 27DS 27ES 31ES 33ES 27DS 30DS 34ES 35DS
130-132 | 11CS 11CS 11DS 15DS 17DS 16DS 19DS 18DS 23DS 24DS 27DS 27DS 27DS 27DS 30DS 33DS 26DS 29DS 33DS 34DS
127-129 | 11BS 10CS 11CS 15DS 16CS 16DS 18DS 17DS 21DS 22DS 26DS 25DS 26DS 26DS 29DS 31DS 25DS 27DS 32DS 32DS
124-126 | 10BS 10BS 11CS 14CS 15CS 15CS 17CS 17DS 21DS 21DS 24DS 24DS 25DS 25DS 28DS 30DS 23DS 26DS 30DS 30DS
121-123 | 10AS 10BS 10CS 14CS 15CS 15CS 16CS 16DS 20CS 20CS 23DS 23DS 24DS 24DS 27DS 29DS 22CS 25CS 29DS 29DS
118-120 | 9AS 9BS 9BS 12CS 14BS 13CS 15CS 15CS 18CS 18CS 22CS 21DS 23CS 23DS 25DS 27DS 20CS 23CS 28DS 27CS
115-117 | 9 9AS 9BS 12CS 13BS 13BS 14CS 14CS 18CS 17CS 20CS 20CS 22CS 22CS 24CS 26DS 19CS 22CS 26CS 26CS
112-114 | 9 8AS 9BS 11BS 13BS 12BS 14BS 13CS 17CS 16CS 19CS 19CS 21CS 21CS 23CS 24CS 18CS 20CS 25CS 24CS
109-111 | 9 8 8AS 11BS 12AS 12BS 13BS 12CS 16BS 15CS 18CS 18CS 21CS 20CS 22CS 23CS 17BS 19BS 24CS 23CS
106-108 | 8 8 8AS 10BS 12AS 11BS 12BS 12BS 15BS 14BS 17CS 17CS 20CS 19CS 21CS 22CS 15BS 18BS 23CS 22BS
103-105 | 8 8 8AS 10BS 11AS 11AS 12BS 11BS 14BS 13BS 16BS 16CS 19BS 18CS 20CS 21CS 14BS 16BS 22CS 20BS
100-102 | 8 7 7AS 9AS 11 10AS 11AS 10BS 13BS 12BS 15BS 15BS 18BS 17BS 19CS 20CS 13BS 15BS 21BS 19BS
97-99 | 7 7 7 9AS 10 10AS 10AS 10BS 12AS 11BS 14BS 13BS 17BS 17BS 18BS 18BS 12BS 14BS 20BS 17BS
94-96 | 7 7 7 8AS 10 9 10AS 9BS 12AS 10AS 12BS 12BS 17BS 16BS 17BS 17BS 10AS 12AS 18BS 16BS
91-93 | 7 6 6 8AS 9 8 9AS 8AS 11AS 9AS 11BS 11BS 16AS 15BS 16BS 16BS 9AS 11AS 17BS 15AS
88-90 | 7 6 6 7AS 8 8 8 7AS 10AS 8AS 10AS 10BS 15AS 14BS 15BS 15BS 8AS 10AS 16BS 13AS
85-87 | 6 6 5 6 8 7 8 7AS 9 7AS 9AS 9AS 14AS 13AS 14BS 14BS 7AS 8AS 15AS 12AS
82-84 | 6 6 5 6 7 7 7 6AS 8 6AS 8AS 8AS 13AS 12AS 12AS 12BS 5 7 14AS 10AS
79-81 | 6 5 5 5 7 6 6 5AS 7 5 7AS 6AS 13AS 12AS 11AS 11AS 4 - 13AS 9
76-78 | 6 5 4 5 6 6 5 4 6 4 6AS 5AS 12 11AS 10AS 10AS - - 12AS -
73-75 | 5 5 4 4 6 5 5 4 6 - 5 4AS 11 10AS 9AS 9AS - - 11AS -
70-72 | 5 4 4 4 5 5 4 3 5 - 3 3 10 9AS 8AS 7AS - - 9AS -
67-69 | 5 4 3 3 5 4 3 2 4 - - - 9 8 7AS 6AS - - - -
64-66 | 5 4 3 3 4 3 3 - 3 - - - 8 7 6 5 - - - -
61-63 | 4 3 3 2 4 3 2 - - - - - 8 6 5 - - - - -
58-60 | 4 3 2 - 3 2 - - - - - - 7 6 - - - - - -
55-57 | 4 3 - - 3 - - - - - - - 6 - - - - - - -
52-54 | 3 3 - - 2 - - - - - - - 5 - - - - - - -
49-51 | 3 2 - - - - - - - - - - - - - - - - - -
46-48 | 3 2 - - - - - - - - - - - - - - - - - -
43-45 | 3 - - - - - - - - - - - - - - - - - - -
40-42 | 2 - - - - - - - - - - - - - - - - - - -
37-39 | 2 - - - - - - - - - - - - - - - - - - -
