# Attack Table — Nodwick
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Nodwick
@attack_table:    armory.nodwick
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 6EU 8EU 10EU 12EU 14EU 14EU 17EU 17EU 13EU 15EU 19EU 19EU 13EU 13EU 18EU 21EU 15EU 18EU 21EU 23EU
145-147 | 6EU 8EU 10EU 12EU 14EU 14EU 17EU 17EU 13EU 15EU 19EU 19EU 13EU 13EU 18EU 21EU 15EU 18EU 21EU 23EU
142-144 | 6DU 8DU 10EU 12EU 14EU 14EU 16EU 16EU 13EU 14EU 18EU 18EU 13EU 13EU 17EU 20EU 14EU 17EU 20EU 22EU
139-141 | 6DU 8DU 10DU 11EU 13DU 13DU 16DU 16EU 12DU 14EU 17EU 17EU 13EU 13EU 17EU 19EU 14DU 17DU 20EU 21EU
136-138 | 6CU 8CU 9DU 11DU 13DU 13DU 15DU 15DU 12DU 13DU 17DU 17EU 12DU 12DU 16DU 19EU 13DU 16DU 19DU 20DU
133-135 | 6BU 7CU 9CU 11DU 12CU 12CU 15DU 14DU 11DU 13DU 16DU 16DU 12DU 12DU 16DU 18DU 13DU 15DU 19DU 20DU
130-132 | 6BU 7CU 9CU 10DU 12CU 12CU 14CU 14DU 11DU 12DU 16DU 15DU 12DU 12DU 16DU 18DU 12CU 15DU 18DU 19DU
127-129 | 6AU 7BU 9CU 10CU 12BU 11CU 14CU 13CU 11CU 12CU 15DU 14DU 11CU 11DU 15DU 17DU 12CU 14CU 18DU 18CU
124-126 | 5AU 7AU 8BU 10CU 11BU 11BU 13CU 13CU 10CU 11CU 14CU 14DU 11CU 11CU 14CU 16DU 11BU 14CU 17CU 17CU
121-123 | 5 7AU 8BU 9CU 11AU 11BU 12BU 12CU 10BU 10CU 13CU 13CU 11CU 11CU 14CU 15CU 11BU 13BU 16CU 17CU
118-120 | 5 6AU 7AU 8BU 10AU 10AU 11BU 11CU 9BU 9BU 12CU 12CU 10BU 10CU 13CU 14CU 9BU 12BU 15CU 16BU
115-117 | 5 6 7AU 8BU 9 9AU 11AU 10BU 8BU 9BU 12BU 11CU 10BU 10BU 12CU 14CU 9AU 11BU 15CU 15BU
112-114 | 4 6 7AU 8BU 9 9AU 10AU 10BU 8AU 8BU 11BU 10CU 9BU 9BU 12BU 13CU 8AU 11AU 14BU 14BU
109-111 | 4 5 6 7AU 9 8 10AU 9BU 8AU 8BU 10BU 10BU 9BU 9BU 11BU 12BU 8 10AU 14BU 13AU
106-108 | 4 5 6 7AU 8 8 9 9AU 7AU 7AU 9BU 9BU 9AU 9BU 11BU 11BU 7 10AU 13BU 13AU
103-105 | 4 5 6 7AU 8 8 9 8AU 7AU 7AU 9AU 8BU 9AU 8AU 10BU 11BU 7 9 13BU 12AU
100-102 | 4 5 5 6 7 7 8 7AU 6 6AU 8AU 7BU 8AU 8AU 10AU 10BU 6 8 12AU 11AU
97-99 | 4 5 5 6 7 7 7 7AU 6 6 7AU 7BU 8 8AU 9AU 9BU 6 8 12AU 10
94-96 | 4 4 5 5 7 6 7 6 6 5 7AU 6AU 8 7AU 9AU 9AU 5 7 11AU 10
91-93 | 4 4 5 5 6 6 6 6 5 4 6 5AU 7 7 8AU 8AU 4 7 10AU 9
88-90 | 3 4 4 5 6 5 6 5 5 4 5 4AU 7 7 8 7AU 4 6 10 8
85-87 | 3 4 4 4 5 5 5 4 4 3 5 4AU 7 6 7 7AU 3 - 9 -
82-84 | 3 4 4 4 5 4 5 4 4 3 4 3 6 6 6 6 - - 9 -
79-81 | 3 3 3 4 5 4 4 3 4 2 3 2 6 6 6 5 - - 8 -
76-78 | 3 3 3 3 4 4 3 3 3 - 3 - 6 5 5 5 - - - -
73-75 | 3 3 3 3 4 3 3 2 3 - 2 - 6 5 5 4 - - - -
70-72 | 3 3 3 2 3 3 2 1 2 - - - 5 5 4 - - - - -
67-69 | 2 3 2 2 3 2 2 - - - - - 5 4 - - - - - -
64-66 | 2 2 2 2 3 2 1 - - - - - 5 4 - - - - - -
61-63 | 2 2 2 1 2 1 - - - - - - 4 - - - - - - -
58-60 | 2 2 1 1 2 1 - - - - - - 4 - - - - - - -
55-57 | 2 2 1 - 1 - - - - - - - - - - - - - - -
52-54 | 2 2 - - - - - - - - - - - - - - - - - -
49-51 | 2 1 - - - - - - - - - - - - - - - - - -
46-48 | 2 1 - - - - - - - - - - - - - - - - - -
43-45 | 1 1 - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
