# Attack Table — Nunchaku
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Nunchaku
@attack_table:    armory.nunchaku
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 6CK 8CK 10EK 12EK 13EK 13EK 16EK 16EK 11EK 13EK 17EK 18EK 12EK 12EK 17EK 21EK 14EK 17EK 30EK 22EK
145-147 | 6BK 8CK 10EK 12EK 13EK 13EK 16EK 16EK 11EK 13EK 17EK 18EK 12EK 12EK 17EK 21EK 14EK 17EK 30EK 22EK
142-144 | 6AK 8BK 10DK 12EK 13DK 13DK 16EK 16EK 11EK 13EK 17EK 17EK 12EK 12EK 17EK 20EK 14EK 17EK 29EK 21EK
139-141 | 6 8AK 10DK 12DK 13CK 13DK 15DK 15DK 11DK 12EK 16EK 17EK 12EK 12EK 16EK 20EK 13DK 16EK 28EK 21EK
136-138 | 6 8AK 10CK 11DK 12BK 12CK 15DK 15DK 10DK 12DK 16DK 16EK 12DK 11DK 16DK 19EK 13DK 16DK 27EK 20DK
133-135 | 6 8 9BK 11CK 12BK 12CK 14CK 14DK 10DK 12DK 15DK 16DK 11DK 11DK 15DK 19DK 12DK 15DK 27DK 20DK
130-132 | 6 7 9BK 11CK 12AK 12CK 14CK 14DK 10CK 12DK 15DK 16DK 11DK 11DK 15DK 18DK 12DK 15DK 26DK 19DK
127-129 | 6 7 9AK 10BK 11 11BK 13BK 13CK 10CK 11CK 14DK 15DK 11CK 11DK 15DK 18DK 12CK 14CK 25DK 19DK
124-126 | 6 7 9AK 10BK 11 11AK 13BK 13CK 9CK 11CK 14CK 14DK 11CK 10CK 14CK 17DK 11CK 14CK 24DK 18CK
121-123 | 5 7 8 10BK 11 11AK 13BK 12BK 9BK 10CK 13CK 14CK 10CK 10CK 14CK 16CK 11BK 13CK 24CK 17CK
118-120 | 5 6 8 9AK 10 10 12AK 12BK 8BK 10BK 13CK 13CK 10BK 9CK 13CK 15CK 10BK 13BK 22CK 16CK
115-117 | 5 6 7 9AK 10 9 11AK 11BK 8BK 9BK 12BK 12CK 9BK 9BK 12CK 15CK 9BK 12BK 22CK 16BK
112-114 | 5 6 7 8 9 9 11 11AK 8AK 9BK 12BK 12CK 9BK 9BK 12BK 14CK 9AK 12BK 21CK 15BK
109-111 | 4 6 7 8 9 9 10 10AK 8AK 8BK 11BK 11BK 9BK 9BK 12BK 14BK 8AK 11BK 20BK 15BK
106-108 | 4 6 7 8 9 8 10 10AK 7AK 8AK 11BK 11BK 9AK 8BK 11BK 13BK 8AK 11AK 19BK 14BK
103-105 | 4 5 6 7 8 8 10 9 7 8AK 10AK 10BK 8AK 8AK 11BK 12BK 8 10AK 19BK 14AK
100-102 | 4 5 6 7 8 8 9 9 7 7AK 10AK 10BK 8AK 8AK 10AK 12BK 7 10AK 18BK 13AK
97-99 | 4 5 6 7 8 7 9 8 7 7 9AK 9BK 8 8AK 10AK 11BK 7 9 17AK 12AK
94-96 | 4 5 6 6 7 7 8 8 6 7 9AK 9AK 8 7AK 9AK 11AK 6 9 16AK 12AK
91-93 | 4 5 5 6 7 7 8 7 6 6 8 8AK 7 7 9AK 10AK 6 8 15AK 11
88-90 | 4 5 5 6 7 6 7 7 6 6 8 8AK 7 7 9 10AK 6 8 15AK 11
85-87 | 3 4 5 5 6 6 7 7 6 6 8 7AK 7 7 8 9AK 5 8 14 10
82-84 | 3 4 5 5 6 6 7 6 5 5 7 7 7 6 8 8 5 7 13 10
79-81 | 3 4 4 5 6 5 6 6 5 5 7 6 6 6 7 8 4 7 12 9
76-78 | 3 4 4 4 5 5 6 5 5 5 6 6 6 6 7 7 4 6 12 9
73-75 | 3 4 4 4 5 5 5 5 5 4 6 5 6 6 7 7 3 6 11 8
70-72 | 3 3 4 4 5 4 5 4 4 4 5 5 6 5 6 6 3 5 10 7
67-69 | 3 3 3 4 5 4 4 4 4 4 5 4 5 5 6 6 3 - 9 -
64-66 | 3 3 3 3 4 4 4 3 4 3 4 4 5 5 5 5 2 - 9 -
61-63 | 3 3 3 3 4 4 4 3 4 3 4 3 5 5 5 5 - - 8 -
58-60 | 2 3 3 3 4 3 3 3 3 3 4 3 5 4 4 4 - - 7 -
55-57 | 2 3 2 2 3 3 3 2 3 2 3 2 4 4 4 3 - - - -
52-54 | 2 2 2 2 3 3 2 2 3 - 3 - 4 4 4 - - - - -
49-51 | 2 2 2 2 3 2 2 1 3 - 2 - 4 4 3 - - - - -
46-48 | 2 2 2 1 2 2 1 - 2 - - - 4 3 - - - - - -
43-45 | 2 2 1 1 2 2 1 - 2 - - - 3 3 - - - - - -
40-42 | 2 2 1 - 2 1 - - - - - - 3 - - - - - - -
37-39 | 2 2 - - 1 - - - - - - - - - - - - - - -
34-36 | 1 1 - - 1 - - - - - - - - - - - - - - -
31-33 | 1 1 - - - - - - - - - - - - - - - - - -
28-30 | 1 1 - - - - - - - - - - - - - - - - - -
25-27 | 1 - - - - - - - - - - - - - - - - - - -
