# Attack Table — Partisan
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Partisan
@attack_table:    armory.partisan
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 10EP 12EP 14EP 16EP 23EP 23EP 26EP 26EP 24EP 26EP 30EP 30EP 24EP 24EP 29EP 32EP 26EP 29EP 32EP 34EP
145-147 | 10EP 12EP 14EP 16EP 23EP 23EP 26EP 26EP 24EP 26EP 29EP 29EP 24EP 24EP 29EP 31EP 26EP 28EP 32EP 33EP
142-144 | 10DP 12DP 14EP 16EP 22EP 22EP 25EP 25EP 23EP 25EP 28EP 28EP 23EP 23EP 28EP 30EP 25EP 27EP 31EP 32EP
139-141 | 10DP 12DP 13DP 15EP 22DP 21EP 24EP 24EP 22EP 24EP 27EP 27EP 23EP 22EP 27EP 29EP 24EP 26EP 30EP 31EP
136-138 | 10CP 11CP 13DP 15DP 21DP 21DP 23DP 23EP 21DP 23EP 26EP 26EP 22EP 22EP 26EP 28EP 23DP 25DP 29EP 30EP
133-135 | 9BP 11CP 12DP 14DP 20DP 20DP 23DP 22DP 21DP 22DP 25DP 25DP 21DP 21DP 25DP 27EP 22DP 24DP 28DP 29DP
130-132 | 9BP 11BP 12CP 14DP 20DP 20DP 22DP 22DP 20DP 21DP 25DP 24DP 21DP 21DP 24DP 27DP 21DP 24DP 27DP 28DP
127-129 | 9AP 10BP 12CP 13CP 19CP 19CP 21DP 21DP 19DP 20DP 23DP 23DP 20DP 20DP 23DP 25DP 20DP 22DP 26DP 26DP
124-126 | 9 10AP 11BP 13CP 18CP 18CP 20CP 20DP 18CP 19DP 22DP 22DP 19DP 19DP 22DP 24DP 19CP 21CP 25DP 25DP
121-123 | 8 10AP 11BP 12CP 18BP 17CP 19CP 19CP 18CP 18CP 21CP 21DP 19CP 18CP 22DP 23DP 18CP 20CP 24DP 24CP
118-120 | 8 9 10BP 11BP 17BP 16BP 18CP 18CP 16CP 17CP 20CP 19CP 18CP 17CP 20CP 22DP 16CP 19CP 23CP 22CP
115-117 | 7 9 10AP 11BP 16BP 16BP 17BP 17CP 16CP 16CP 19CP 18CP 17CP 17CP 19CP 20CP 15BP 18CP 22CP 21CP
112-114 | 7 8 9AP 10BP 15AP 15BP 16BP 16CP 15BP 15CP 18CP 17CP 16CP 16CP 18CP 19CP 15BP 17BP 21CP 20CP
109-111 | 7 8 9 10AP 15AP 14BP 16BP 15BP 14BP 14BP 17CP 16CP 16BP 15CP 18CP 18CP 14BP 16BP 20CP 19BP
106-108 | 7 8 8 9AP 14AP 14AP 15BP 14BP 13BP 13BP 16BP 15CP 15BP 15BP 17CP 17CP 13BP 15BP 19CP 18BP
103-105 | 7 7 8 9AP 13AP 13AP 14AP 13BP 13BP 12BP 15BP 14BP 15BP 14BP 16BP 16CP 12AP 14BP 18BP 17BP
100-102 | 6 7 8 8AP 13 12AP 13AP 13BP 12AP 11BP 14BP 13BP 14BP 13BP 15BP 15BP 11AP 13AP 17BP 15BP
97-99 | 6 7 7 8 12 12 12AP 12BP 11AP 10AP 13BP 11BP 13AP 13BP 14BP 14BP 10AP 11AP 16BP 14AP
94-96 | 6 6 7 7 12 11 12AP 11AP 10AP 9AP 12AP 10BP 13AP 12AP 13BP 13BP 9 10AP 15BP 13AP
91-93 | 6 6 6 7 11 10 11 10AP 10AP 8AP 11AP 9BP 12AP 11AP 12AP 12BP 8 9AP 14BP 12AP
88-90 | 5 6 6 6 10 10 10 9AP 9 7AP 10AP 8AP 11AP 11AP 11AP 11BP 7 8 13AP 11AP
85-87 | 5 6 6 6 10 9 9 8AP 8 6 8AP 7AP 11 10AP 10AP 10AP 6 7 12AP 10AP
82-84 | 5 5 5 5 9 8 8 7 7 5 7AP 6AP 10 9AP 10AP 9AP 5 6 11AP 8
79-81 | 5 5 5 5 8 8 8 7 7 4 6 5AP 9 9 9AP 8AP 4 - 10AP -
76-78 | 4 5 4 4 8 7 7 6 6 4 5 4AP 9 8 8 7AP 3 - 10AP -
73-75 | 4 4 4 4 7 6 6 5 5 3 4 3 8 7 7 6AP - - 9 -
70-72 | 4 4 4 3 7 6 5 4 4 - 3 - 8 7 6 5 - - - -
67-69 | 4 4 3 3 6 5 4 3 4 - 2 - 7 6 5 - - - - -
64-66 | 4 3 3 2 5 4 4 2 3 - - - 6 5 4 - - - - -
61-63 | 3 3 2 2 5 4 3 2 2 - - - 6 5 - - - - - -
58-60 | 3 3 2 1 4 3 2 - - - - - 5 4 - - - - - -
55-57 | 3 2 2 - 3 2 1 - - - - - 4 - - - - - - -
52-54 | 3 2 1 - 3 2 - - - - - - - - - - - - - -
49-51 | 2 2 - - 2 1 - - - - - - - - - - - - - -
46-48 | 2 2 - - 1 - - - - - - - - - - - - - - -
43-45 | 2 1 - - - - - - - - - - - - - - - - - -
40-42 | 2 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
31-33 | 1 - - - - - - - - - - - - - - - - - - -
