# Attack Table — Pike
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Pike
@attack_table:    armory.pike
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 14EP 16EP 18EP 20EP 25EP 25EP 28EP 28EP 27EP 29EP 33EP 33EP 28EP 28EP 33EP 36EP 31EP 34EP 37EP 39EP
145-147 | 14EP 16EP 18EP 20EP 25EP 25EP 28EP 27EP 27EP 28EP 32EP 32EP 28EP 28EP 32EP 35EP 30EP 33EP 36EP 38EP
142-144 | 14DP 16EP 17EP 19EP 24EP 24EP 27EP 26EP 26EP 27EP 31EP 31EP 27EP 27EP 31EP 34EP 29EP 32EP 35EP 36EP
139-141 | 13DP 15DP 17DP 18EP 23DP 23DP 26EP 25EP 25EP 26EP 30EP 30EP 26EP 26EP 30EP 33EP 27EP 30EP 34EP 35EP
136-138 | 13CP 15DP 16DP 18DP 22DP 22DP 25DP 24DP 24DP 25DP 29EP 28EP 25EP 25EP 29EP 32EP 26DP 29DP 33EP 33DP
133-135 | 13CP 14CP 15DP 17DP 22DP 22DP 24DP 23DP 23DP 23DP 27DP 27DP 24DP 24DP 28DP 30DP 25DP 27DP 31DP 32DP
130-132 | 12BP 14CP 15CP 16DP 21CP 21DP 23DP 23DP 22DP 23DP 27DP 26DP 24DP 24DP 27DP 29DP 24DP 26DP 30DP 31DP
127-129 | 12AP 13BP 14CP 16CP 20CP 20CP 22CP 21DP 21DP 21DP 25DP 25DP 23DP 22DP 26DP 28DP 22CP 24DP 29DP 29DP
124-126 | 12AP 13BP 14CP 15CP 19BP 19CP 21CP 20CP 20CP 20CP 24DP 23DP 22DP 22DP 25DP 27DP 20CP 23CP 28DP 27CP
121-123 | 11 12AP 13BP 14CP 19BP 18BP 20CP 19CP 19CP 19CP 22CP 22DP 21CP 21DP 24DP 25DP 19CP 21CP 26CP 26CP
118-120 | 10 11AP 12BP 13BP 18BP 17BP 18BP 18CP 17CP 17CP 21CP 21CP 20CP 19CP 22CP 24CP 17CP 20CP 25CP 23CP
115-117 | 10 11 11AP 12BP 17AP 16BP 18BP 17CP 16BP 16CP 19CP 19CP 19CP 19CP 21CP 22CP 16BP 18BP 23CP 22CP
112-114 | 10 10 11AP 11BP 16AP 15AP 17BP 16BP 15BP 14BP 18CP 18CP 18CP 18CP 20CP 21CP 14BP 17BP 22CP 20BP
109-111 | 9 10 10AP 11BP 15AP 15AP 16BP 15BP 14BP 13BP 17BP 17CP 17BP 17CP 19CP 20CP 13BP 15BP 21CP 19BP
106-108 | 9 9 10 10AP 15 14AP 15AP 14BP 13BP 12BP 16BP 16CP 17BP 16BP 18CP 19CP 11AP 14BP 20BP 17BP
103-105 | 8 9 9 9AP 14 13AP 14AP 13BP 12AP 11BP 15BP 14BP 16BP 15BP 16BP 17BP 10AP 12AP 18BP 16BP
100-102 | 8 8 8 9AP 13 12 13AP 12AP 11AP 10AP 13BP 13BP 15BP 14BP 15BP 16BP 9AP 11AP 17BP 14AP
97-99 | 8 8 8 8 12 12 12 11AP 10AP 8AP 12BP 12BP 14AP 13BP 14BP 15BP 7AP 9AP 16BP 13AP
94-96 | 7 7 7 7 12 11 11 10AP 9AP 7AP 11AP 11BP 13AP 12BP 13BP 14BP 6 8AP 15AP 11AP
91-93 | 7 7 7 6 11 10 10 9AP 9 6AP 10AP 9AP 12AP 12AP 12BP 12BP 4 - 14AP 10AP
88-90 | 7 7 6 6 10 9 9 8AP 8 5AP 8AP 8AP 12AP 11AP 11AP 11AP - - 12AP -
85-87 | 6 6 5 5 9 8 8 7 7 3 7AP 7AP 11AP 10AP 10AP 10AP - - 11AP -
82-84 | 6 6 5 4 9 8 7 6 6 - 6 6AP 10 9AP 9AP 9AP - - 10AP -
79-81 | 5 5 4 4 8 7 6 5 5 - 5 4AP 9 8 8AP 7AP - - - -
76-78 | 5 5 4 3 7 6 5 4 4 - 3 3 8 7 6AP 6AP - - - -
73-75 | 5 4 3 2 6 5 4 3 - - - - 7 6 5 5 - - - -
70-72 | 4 4 2 1 6 4 3 - - - - - 7 6 - - - - - -
67-69 | 4 3 2 - 5 4 2 - - - - - 6 - - - - - - -
64-66 | 4 3 1 - 4 3 - - - - - - 5 - - - - - - -
61-63 | 3 2 - - 3 2 - - - - - - - - - - - - - -
58-60 | 3 2 - - 3 - - - - - - - - - - - - - - -
55-57 | 2 1 - - - - - - - - - - - - - - - - - -
52-54 | 2 - - - - - - - - - - - - - - - - - - -
49-51 | 2 - - - - - - - - - - - - - - - - - - -
46-48 | 1 - - - - - - - - - - - - - - - - - - -
43-45 | 1 - - - - - - - - - - - - - - - - - - -
