# Attack Table — Pole Axe
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Pole Axe
@attack_table:    armory.pole_axe
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 26ES 28ES 30ES 32ES 39ES 40ES 42ES 43ES 41ES 43ES 46ES 47ES 39ES 41ES 46ES 49ES 45ES 49ES 51ES 53ES
145-147 | 26ES 28ES 30ES 31ES 38ES 39ES 41ES 42ES 40ES 42ES 45ES 46ES 38ES 40ES 45ES 48ES 43ES 47ES 50ES 51ES
142-144 | 25ES 27ES 29ES 30ES 37ES 38ES 39ES 40ES 38ES 40ES 43ES 44ES 37ES 39ES 43ES 46ES 41ES 45ES 48ES 49ES
139-141 | 24DS 26ES 28ES 29ES 36ES 36ES 38ES 39ES 37ES 38ES 41ES 42ES 36ES 37ES 41ES 44ES 39ES 43ES 46ES 47ES
136-138 | 24DS 25DS 27DS 28ES 35DS 35DS 36ES 37ES 35DS 36ES 39ES 40ES 35ES 36ES 40ES 42ES 37DS 40DS 44ES 44DS
133-135 | 23DS 24DS 26DS 27DS 33DS 34DS 35DS 35DS 34DS 34DS 37DS 38DS 33DS 35DS 38DS 40DS 35DS 38DS 42DS 42DS
130-132 | 23DS 24DS 25DS 26DS 32DS 33DS 34DS 34DS 33DS 33DS 36DS 36DS 33DS 34DS 37DS 39DS 33DS 37DS 41DS 40DS
127-129 | 22CS 23CS 24DS 25DS 31DS 31DS 32DS 32DS 31DS 30DS 33DS 34DS 31DS 32DS 35DS 37DS 30DS 33DS 38DS 37DS
124-126 | 21CS 22CS 23CS 23DS 30CS 30CS 30DS 30DS 29CS 28DS 31DS 32DS 30DS 30DS 33DS 35DS 28CS 31CS 36DS 35CS
121-123 | 20BS 21CS 22CS 22CS 28CS 28CS 29CS 29CS 27CS 26CS 29CS 30CS 28DS 29DS 31DS 33DS 26CS 29CS 35CS 33CS
118-120 | 19BS 20BS 20CS 21CS 27CS 26CS 27CS 26CS 25CS 24CS 27CS 27CS 27CS 27CS 29CS 31CS 23CS 26CS 32CS 30CS
115-117 | 18BS 19BS 19CS 20CS 25CS 25CS 25CS 25CS 24CS 22CS 25CS 25CS 25CS 26CS 27CS 29CS 21BS 24BS 30CS 28CS
112-114 | 18AS 18BS 18BS 19CS 24BS 24BS 24CS 23CS 22BS 20CS 23CS 23CS 24CS 24CS 26CS 27CS 19BS 22BS 28CS 25BS
109-111 | 17AS 17AS 17BS 17BS 23BS 22BS 22BS 21BS 21BS 18BS 21BS 21CS 23CS 23CS 24CS 25CS 16BS 19BS 27CS 23BS
106-108 | 16AS 17AS 16BS 16BS 22BS 21BS 21BS 20BS 19BS 16BS 19BS 19BS 22BS 22CS 22CS 23CS 14BS 17BS 25BS 21BS
103-105 | 16 16AS 15AS 15BS 20AS 20BS 19BS 18BS 18BS 14BS 18BS 17BS 21BS 20BS 21BS 22BS 12AS 15AS 23BS 18AS
100-102 | 15 15AS 14AS 14BS 19AS 18AS 18BS 16BS 16AS 13BS 16BS 15BS 19BS 19BS 19BS 20BS 10AS 12AS 21BS 16AS
97-99 | 14 14 13AS 13BS 18AS 17AS 16BS 15BS 14AS 11AS 14BS 14BS 18BS 17BS 17BS 18BS 8AS 10AS 19BS 14AS
94-96 | 14 13 12AS 12AS 17AS 16AS 15AS 13AS 13AS 9AS 12AS 12AS 17BS 16BS 16BS 16BS 5AS 8AS 17AS 11AS
91-93 | 13 12 11 11AS 15 14AS 13AS 11AS 11AS 7AS 10AS 10AS 16AS 15AS 14AS 14AS - - 15AS 9
88-90 | 12 12 10 10AS 14 13AS 12AS 10AS 10AS 5AS 8AS 8AS 14AS 13AS 12AS 12AS - - 13AS -
85-87 | 12 11 9 8AS 13 12 10AS 8AS 8 3 6AS 6AS 13AS 12AS 11AS 11AS - - 12AS -
82-84 | 11 10 8 7 12 10 9 6 7 - 4 4AS 12AS 11AS 9AS 9AS - - 10AS -
79-81 | 10 9 7 6 10 9 7 5 5 - - - 11AS 9AS 7AS 7AS - - - -
76-78 | 10 8 6 5 9 7 6 3 4 - - - 10 8 6 5 - - - -
73-75 | 9 7 5 4 8 6 4 - - - - - 8 6 - - - - - -
70-72 | 8 7 4 3 7 5 3 - - - - - 7 5 - - - - - -
67-69 | 7 6 3 - 5 3 - - - - - - 6 - - - - - - -
64-66 | 7 5 2 - 4 2 - - - - - - - - - - - - - -
61-63 | 6 4 - - 3 - - - - - - - - - - - - - - -
58-60 | 5 3 - - - - - - - - - - - - - - - - - -
55-57 | 5 3 - - - - - - - - - - - - - - - - - -
52-54 | 4 - - - - - - - - - - - - - - - - - - -
49-51 | 3 - - - - - - - - - - - - - - - - - - -
46-48 | 3 - - - - - - - - - - - - - - - - - - -
43-45 | 2 - - - - - - - - - - - - - - - - - - -
