# Attack Table — Ranseur
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Ranseur
@attack_table:    armory.ranseur
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 05
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 9DP 11EP 13EP 15EP 21EP 21EP 24EP 24EP 22EP 24EP 28EP 28EP 22EP 22EP 27EP 30EP 24EP 27EP 30EP 32EP
145-147 | 9DP 11EP 13EP 15EP 21EP 21EP 24EP 24EP 22EP 24EP 28EP 28EP 22EP 22EP 27EP 30EP 24EP 27EP 30EP 31EP
142-144 | 9CP 11DP 13EP 15EP 20EP 20EP 23EP 23EP 21EP 23EP 27EP 27EP 21EP 21EP 26EP 29EP 23EP 26EP 29EP 30EP
139-141 | 9CP 11DP 12DP 14EP 20DP 20EP 22EP 22EP 20EP 22EP 26EP 26EP 21EP 21EP 25EP 28EP 22EP 25EP 28EP 29EP
136-138 | 9BP 10CP 12DP 14DP 19DP 19DP 22DP 21EP 20DP 21DP 25EP 25EP 20DP 20EP 24EP 27EP 21DP 24DP 27EP 28EP
133-135 | 8AP 10BP 12CP 13DP 19DP 19DP 21DP 21DP 19DP 20DP 24DP 24DP 20DP 20DP 24DP 26DP 20DP 23DP 26DP 27DP
130-132 | 8AP 10BP 11CP 13DP 18CP 18DP 20DP 20DP 19DP 20DP 23DP 23DP 19DP 19DP 23DP 25DP 20DP 22DP 26DP 27DP
127-129 | 8 10AP 11CP 12CP 18CP 17CP 19DP 19DP 18DP 19DP 22DP 22DP 19DP 18DP 22DP 24DP 19CP 21DP 25DP 25DP
124-126 | 8 9AP 11BP 12CP 17CP 17CP 19CP 18DP 17CP 18CP 21DP 21DP 18CP 18DP 21DP 23DP 18CP 20CP 24DP 24DP
121-123 | 8 9 10BP 12CP 16BP 16CP 18CP 18CP 16CP 17CP 20CP 20DP 17CP 17CP 20DP 22DP 17CP 19CP 23DP 23CP
118-120 | 7 8 9AP 11BP 15BP 15BP 17CP 16CP 15CP 16CP 19CP 18CP 16CP 16CP 19CP 20CP 15CP 18CP 22CP 22CP
115-117 | 7 8 9AP 10BP 15BP 14BP 16BP 16CP 15BP 15CP 18CP 17CP 16CP 16CP 18CP 20CP 15BP 17CP 21CP 21CP
112-114 | 7 8 9AP 10BP 14AP 14BP 15BP 15CP 14BP 14BP 17CP 16CP 15BP 15CP 17CP 19CP 14BP 16BP 20CP 19CP
109-111 | 6 7 8 9AP 14AP 13AP 15BP 14BP 13BP 13BP 16BP 15CP 15BP 14BP 17CP 18CP 13BP 15BP 19CP 18BP
106-108 | 6 7 8 9AP 13AP 13AP 14BP 13BP 13BP 12BP 15BP 14CP 14BP 14BP 16BP 17CP 12AP 14BP 18CP 17BP
103-105 | 6 7 8 8AP 13 12AP 13AP 13BP 12AP 11BP 14BP 13BP 14BP 13BP 15BP 16BP 11AP 13AP 17BP 16BP
100-102 | 6 7 7 8 12 11 13AP 12BP 11AP 11AP 13BP 12BP 13AP 13BP 14BP 15BP 10AP 12AP 17BP 15BP
97-99 | 6 6 7 7 11 11 12AP 11AP 11AP 10AP 12BP 11BP 13AP 12BP 14BP 14BP 10AP 11AP 16BP 14AP
94-96 | 5 6 7 7 11 10 11 10AP 10AP 9AP 11AP 10BP 12AP 11AP 13BP 13BP 9 11AP 15BP 13AP
91-93 | 5 6 6 7 10 10 10 10AP 9 8AP 10AP 9BP 11AP 11AP 12AP 12BP 8 10 14AP 12AP
88-90 | 5 6 6 6 10 9 10 9AP 9 7AP 9AP 8AP 11 10AP 11AP 11AP 7 9 13AP 11AP
85-87 | 5 5 5 6 9 9 9 8AP 8 6 9AP 7AP 10 10AP 10AP 10AP 6 8 12AP 10
82-84 | 5 5 5 5 9 8 8 7 7 6 8 6AP 10 9 10AP 9AP 5 7 12AP 9
79-81 | 4 5 5 5 8 7 7 7 6 5 7 5AP 9 9 9AP 8AP 4 6 11AP 8
76-78 | 4 4 4 4 7 7 7 6 6 4 6 4AP 9 8 8 7AP 4 - 10 -
73-75 | 4 4 4 4 7 6 6 5 5 3 5 3AP 8 7 7 6 - - 9 -
70-72 | 4 4 4 4 6 6 5 4 4 2 4 2 8 7 6 5 - - 8 -
67-69 | 4 4 3 3 6 5 5 4 4 - 3 - 7 6 6 4 - - - -
64-66 | 3 3 3 3 5 4 4 3 3 - 2 - 6 6 5 - - - - -
61-63 | 3 3 3 2 5 4 3 2 2 - - - 6 5 4 - - - - -
58-60 | 3 3 2 2 4 3 2 1 - - - - 5 4 - - - - - -
55-57 | 3 3 2 1 3 3 2 - - - - - 5 - - - - - - -
52-54 | 3 2 1 - 3 2 1 - - - - - 4 - - - - - - -
49-51 | 2 2 1 - 2 1 - - - - - - - - - - - - - -
46-48 | 2 2 - - 2 - - - - - - - - - - - - - - -
43-45 | 2 1 - - 1 - - - - - - - - - - - - - - -
40-42 | 2 1 - - - - - - - - - - - - - - - - - -
37-39 | 2 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
31-33 | 1 - - - - - - - - - - - - - - - - - - -
28-30 | 1 - - - - - - - - - - - - - - - - - - -
