# Attack Table — Rope Dart
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Rope Dart
@attack_table:    armory.rope_dart
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 2CT 3DT 3DT 4ET 4DT 4DT 6ET 6ET 3DT 5ET 8ET 8ET 5ET 5ET 9ET 12ET 7ET 9ET 11ET 14ET
145-147 | 2BT 3CT 3DT 4ET 4DT 4DT 6ET 6ET 3DT 5ET 8ET 8ET 5ET 5ET 9ET 12ET 7ET 9ET 11ET 14ET
142-144 | 2AT 3BT 3CT 4ET 4CT 4CT 6DT 6ET 3DT 5ET 8ET 8ET 5ET 5ET 9ET 12ET 7ET 9ET 11ET 14ET
139-141 | 2 3AT 3CT 4DT 4CT 4CT 6DT 6DT 3CT 5DT 8DT 7ET 5ET 5ET 9ET 11ET 7DT 9ET 11ET 13ET
136-138 | 2 3 3BT 4DT 4BT 4BT 6CT 6DT 3CT 5DT 7DT 7DT 5DT 5DT 8DT 11ET 6DT 8DT 10ET 13DT
133-135 | 2 3 3BT 4CT 4AT 4BT 5CT 5DT 3CT 5DT 7DT 7DT 5DT 5DT 8DT 10DT 6DT 8DT 10DT 12DT
130-132 | 2 3 3AT 4CT 4AT 4BT 5CT 5CT 3BT 4CT 7CT 7DT 5DT 5DT 8DT 10DT 6DT 8DT 10DT 12DT
127-129 | 2 3 3AT 4BT 4 4AT 5BT 5CT 3BT 4CT 6CT 6CT 5CT 5DT 8DT 10DT 6CT 7CT 9DT 11DT
124-126 | 2 3 3 4BT 4 4AT 5AT 5BT 3AT 4BT 6CT 6CT 5CT 5CT 7CT 9DT 5CT 7CT 9DT 11CT
121-123 | 2 3 3 3AT 3 3 5AT 5BT 3AT 4BT 6BT 5CT 5CT 4CT 7CT 9CT 5BT 7CT 9CT 10CT
118-120 | 2 2 2 3AT 3 3 4 4BT 2AT 3BT 5BT 5CT 4CT 4CT 6CT 8CT 4BT 6BT 8CT 9CT
115-117 | 2 2 2 3 3 3 4 4AT 2 3AT 5BT 4BT 4BT 4CT 6CT 7CT 4BT 6BT 8CT 9BT
112-114 | 2 2 2 3 3 3 4 3AT 2 3AT 4AT 4BT 4BT 4BT 6BT 7CT 4AT 5BT 7CT 9BT
109-111 | 2 2 2 2 3 2 3 3 2 2 4AT 4BT 4BT 4BT 5BT 7BT 3AT 5AT 7BT 8BT
106-108 | 2 2 2 2 2 2 3 3 2 2 4AT 3AT 3AT 3BT 5BT 6BT 3AT 5AT 7BT 8BT
103-105 | 2 2 2 2 2 2 3 3 2 2 3 3AT 3AT 3AT 5BT 6BT 3 4AT 6BT 7AT
100-102 | 1 2 2 2 2 2 3 3 2 2 3 3AT 3AT 3AT 5AT 5BT 3 4AT 6BT 7AT
97-99 | 1 2 2 2 2 2 3 2 2 2 3 2AT 3AT 3AT 4AT 5BT 2 4 6AT 6AT
94-96 | 1 2 2 2 2 2 2 2 1 2 2 2 3 3AT 4AT 4AT 2 4 5AT 6AT
91-93 | 1 2 2 2 2 2 2 2 1 1 2 2 3 3 4AT 4AT 2 3 5AT 5
88-90 | 1 2 2 2 2 2 2 2 1 1 2 1 3 3 3AT 4AT 1 - 5AT -
85-87 | 1 2 1 2 2 2 2 1 1 - 1 - 3 3 3 3AT 1 - 4 -
82-84 | 1 1 1 1 2 1 1 1 1 - 1 - 3 3 3 3 - - 4 -
79-81 | 1 1 1 1 1 1 1 1 - - - - 3 2 3 2 - - - -
76-78 | 1 1 1 1 1 1 1 - - - - - 2 2 2 - - - - -
73-75 | 1 1 1 1 1 1 - - - - - - 2 2 2 - - - - -
70-72 | 1 1 1 - 1 - - - - - - - 2 2 - - - - - -
67-69 | 1 1 1 - 1 - - - - - - - 2 - - - - - - -
64-66 | 1 1 - - - - - - - - - - - - - - - - - -
61-63 | 1 - - - - - - - - - - - - - - - - - - -
58-60 | 1 - - - - - - - - - - - - - - - - - - -
