# Attack Table — Sai
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Sai
@attack_table:    armory.sai
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 04
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 5DK 7EK 9EK 11EK 12EK 12EK 15EK 15EK 10EK 12EK 16EK 16EK 10EK 10EK 15EK 18EK 12EK 15EK 18EK 20EK
145-147 | 5DK 7EK 9EK 11EK 12EK 12EK 15EK 15EK 10EK 12EK 16EK 16EK 10EK 10EK 15EK 18EK 12EK 15EK 18EK 20EK
142-144 | 5CK 7DK 9DK 11EK 12DK 12DK 14EK 14EK 10EK 12EK 15EK 15EK 10EK 10EK 15EK 17EK 12EK 14EK 18EK 19EK
139-141 | 5BK 7CK 9DK 10DK 11DK 11DK 14DK 14DK 9DK 11EK 15EK 15EK 10EK 10EK 14EK 17EK 11DK 14EK 17EK 18EK
136-138 | 5AK 7BK 8CK 10DK 11CK 11CK 13DK 13DK 9DK 11DK 14DK 14DK 10DK 9DK 14EK 16EK 11DK 13DK 17EK 18DK
133-135 | 5 7BK 8CK 10DK 11BK 11CK 13CK 13DK 9DK 10DK 13DK 13DK 9DK 9DK 13DK 15DK 10DK 13DK 16DK 17DK
130-132 | 5 6AK 8CK 9CK 10BK 10CK 13CK 12DK 9CK 10DK 13DK 13DK 9DK 9DK 13DK 15DK 10DK 13DK 16DK 17DK
127-129 | 5 6 8BK 9CK 10AK 10BK 12BK 12CK 8CK 9CK 12CK 12DK 9CK 9DK 12DK 14DK 9CK 12CK 15DK 16CK
124-126 | 5 6 7AK 9BK 10AK 9AK 11BK 11CK 8CK 9CK 12CK 11CK 9CK 8CK 12DK 14DK 9CK 11CK 15DK 15CK
121-123 | 4 6 7AK 8BK 9 9AK 11BK 11BK 7BK 8CK 11CK 11CK 8CK 8CK 11CK 13CK 8BK 11CK 14CK 14CK
118-120 | 4 5 6 7BK 8 8AK 10AK 10BK 7BK 7BK 10CK 9CK 8CK 7CK 10CK 12CK 7BK 10BK 13CK 13CK
115-117 | 4 5 6 7AK 8 8 9AK 9BK 6AK 7BK 9BK 9CK 7BK 7CK 10CK 11CK 7BK 9BK 13CK 13BK
112-114 | 4 5 6 7AK 8 8 9 9AK 6AK 6BK 9BK 8BK 7BK 7BK 9CK 11CK 6AK 9BK 12CK 12BK
109-111 | 4 5 5 6AK 7 7 8 8AK 6AK 6AK 8BK 7BK 7BK 7BK 9BK 10CK 6AK 8AK 12BK 11BK
106-108 | 3 4 5 6 7 7 8 7AK 5 5AK 7AK 7BK 7AK 6BK 9BK 9BK 5AK 8AK 11BK 11AK
103-105 | 3 4 5 6 7 6 7 7AK 5 5AK 7AK 6BK 6AK 6AK 8BK 9BK 5 7AK 11BK 10AK
100-102 | 3 4 5 5 6 6 7 6 4 4 6AK 5AK 6AK 6AK 8BK 8BK 4 7AK 10BK 9AK
97-99 | 3 4 4 5 6 6 6 6 4 4 6AK 5AK 6AK 6AK 7AK 8BK 4 6 10AK 9AK
94-96 | 3 4 4 4 6 5 6 5 4 3 5 4AK 6 5AK 7AK 7AK 3 6 9AK 8
91-93 | 3 4 4 4 5 5 5 5 3 3 4 3AK 5 5 6AK 6AK 3 5 9AK 7
88-90 | 3 3 4 4 5 5 5 4 3 2 4 3 5 5 6AK 6AK 2 - 8AK -
85-87 | 3 3 3 3 5 4 4 4 3 2 3 2 5 5 5 5AK 2 - 8 -
82-84 | 3 3 3 3 4 4 4 3 2 1 2 1 5 4 5 4AK - - 7 -
79-81 | 2 3 3 3 4 3 3 3 2 - 2 - 5 4 4 4 - - - -
76-78 | 2 3 2 2 3 3 3 2 2 - 1 - 4 4 4 3 - - - -
73-75 | 2 2 2 2 3 3 2 2 1 - - - 4 4 3 - - - - -
70-72 | 2 2 2 2 3 2 2 1 1 - - - 4 3 3 - - - - -
67-69 | 2 2 2 1 2 2 1 - - - - - 4 3 - - - - - -
64-66 | 2 2 1 - 2 2 - - - - - - 3 - - - - - - -
61-63 | 2 2 1 - 2 1 - - - - - - 3 - - - - - - -
58-60 | 2 1 - - 1 - - - - - - - - - - - - - - -
55-57 | 2 1 - - 1 - - - - - - - - - - - - - - -
52-54 | 1 1 - - - - - - - - - - - - - - - - - -
49-51 | 1 - - - - - - - - - - - - - - - - - - -
46-48 | 1 - - - - - - - - - - - - - - - - - - -
43-45 | 1 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
