# Attack Table — Shuriken
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Shuriken
@attack_table:    armory.shuriken
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 02
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 2CT 3CT 3CT 4DT 4CT 4CT 6DT 6DT 3CT 5DT 8DT 8DT 5DT 5DT 9DT 11DT 7DT 9DT 10DT 13DT
145-147 | 2BT 3BT 3CT 4DT 4CT 4CT 6DT 6DT 3CT 5DT 8DT 8DT 5DT 5DT 9DT 11DT 7DT 9DT 10DT 13DT
142-144 | 2 3AT 3CT 4DT 4BT 4CT 6DT 6DT 3CT 5DT 8DT 8DT 5DT 5DT 9DT 11DT 7DT 9DT 10DT 13DT
139-141 | 2 3AT 3BT 4CT 4BT 4BT 6CT 6DT 3CT 5DT 8DT 8DT 5DT 5DT 9DT 10DT 7DT 9DT 10DT 12DT
136-138 | 2 3 3BT 4CT 4AT 4BT 6CT 6CT 3BT 5CT 7CT 7DT 5DT 5DT 8DT 10DT 6CT 8DT 9DT 12DT
133-135 | 2 3 3AT 4BT 4AT 4BT 5BT 5CT 3BT 5CT 7CT 7CT 5CT 5CT 8DT 10DT 6CT 8CT 9DT 11CT
130-132 | 2 3 3AT 4BT 4AT 4AT 5BT 5CT 3BT 4CT 7CT 7CT 5CT 5CT 8CT 9CT 6CT 8CT 9CT 11CT
127-129 | 2 3 3 4BT 4 4AT 5AT 5BT 3BT 4BT 6BT 6CT 5CT 5CT 8CT 9CT 6CT 8CT 8CT 11CT
124-126 | 2 3 3 4AT 4 4 5AT 5BT 3AT 4BT 6BT 6CT 5CT 5CT 7CT 9CT 5BT 7CT 8CT 10CT
121-123 | 2 3 3 3AT 4 3 5AT 5BT 3AT 4BT 6BT 6BT 5BT 5CT 7CT 8CT 5BT 7BT 8CT 10CT
118-120 | 2 2 2 3 3 3 4 4AT 2AT 3AT 5BT 5BT 4BT 4BT 6CT 7CT 4BT 6BT 7CT 9BT
115-117 | 2 2 2 3 3 3 4 4AT 2 3AT 5AT 4BT 4BT 4BT 6BT 7BT 4BT 6BT 7BT 8BT
112-114 | 2 2 2 3 3 3 4 3AT 2 3AT 4AT 4BT 4BT 4BT 6BT 7BT 4AT 6BT 7BT 8BT
109-111 | 2 2 2 2 3 3 3 3 2 3 4AT 4AT 4BT 4BT 6BT 6BT 4AT 5AT 6BT 8BT
106-108 | 2 2 2 2 2 2 3 3 2 2 4AT 3AT 4AT 4BT 5BT 6BT 3AT 5AT 6BT 7AT
103-105 | 1 2 2 2 2 2 3 3 2 2 3 3AT 3AT 3AT 5BT 6BT 3AT 5AT 6BT 7AT
100-102 | 1 2 2 2 2 2 3 3 2 2 3 3AT 3AT 3AT 5AT 5BT 3 5AT 5AT 6AT
97-99 | 1 2 2 2 2 2 3 2 2 2 3 3AT 3AT 3AT 5AT 5AT 3 4 5AT 6AT
94-96 | 1 2 2 2 2 2 2 2 1 2 3 2 3 3AT 4AT 5AT 2 4 5AT 5AT
91-93 | 1 2 2 2 2 2 2 2 1 1 2 2 3 3AT 4AT 4AT 2 4 4AT 5
88-90 | 1 2 2 2 2 2 2 2 1 1 2 2 3 3 4AT 4AT 2 3 4AT 5
85-87 | 1 2 1 2 2 2 2 2 1 1 2 1 3 3 3 3AT 2 3 4AT 4
82-84 | 1 1 1 1 2 1 2 1 1 - 1 - 3 3 3 3AT 1 - 4 -
79-81 | 1 1 1 1 2 1 1 1 1 - 1 - 3 3 3 3 1 - 3 -
76-78 | 1 1 1 1 1 1 1 - - - - - 3 2 3 2 - - 3 -
73-75 | 1 1 1 1 1 1 1 - - - - - 2 2 2 2 - - - -
70-72 | 1 1 1 - 1 1 - - - - - - 2 2 2 - - - - -
67-69 | 1 1 1 - 1 - - - - - - - 2 2 - - - - - -
64-66 | 1 1 - - - - - - - - - - 2 2 - - - - - -
61-63 | 1 - - - - - - - - - - - 2 - - - - - - -
