# Attack Table — Staff Sling
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Staff Sling
@attack_table:    armory.staff_sling
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 11EK 13EK 15EK 17EK 19EK 19EK 22EK 22EK 20EK 22EK 26EK 26EK 21EK 21EK 26EK 29EK 23EK 26EK 29EK 31EK
145-147 | 11EK 13EK 15EK 17EK 19EK 19EK 22EK 22EK 20EK 22EK 25EK 25EK 21EK 21EK 26EK 29EK 22EK 25EK 29EK 30EK
142-144 | 11DK 13EK 14EK 16EK 18EK 18EK 21EK 21EK 19EK 21EK 24EK 24EK 20EK 20EK 25EK 28EK 21EK 24EK 28EK 29EK
139-141 | 11DK 12DK 14DK 15EK 18DK 17DK 20EK 20EK 18EK 20EK 23EK 23EK 20EK 20EK 24EK 27EK 20DK 23EK 27EK 28EK
136-138 | 10CK 12DK 13DK 15DK 17DK 17DK 19DK 19DK 18DK 19DK 22DK 22EK 19DK 19DK 23DK 26EK 19DK 22DK 26EK 26DK
133-135 | 10CK 11CK 13DK 14DK 16CK 16DK 18DK 18DK 17DK 18DK 21DK 21DK 18DK 18DK 22DK 25DK 18DK 21DK 25DK 25DK
130-132 | 10BK 11CK 12CK 14DK 16CK 16CK 18DK 17DK 16DK 17DK 21DK 20DK 18DK 18DK 21DK 24DK 18CK 20DK 24DK 24DK
127-129 | 9BK 10BK 12CK 13CK 15CK 15CK 17CK 16DK 15CK 16DK 19DK 19DK 17CK 17DK 20DK 23DK 16CK 19CK 23DK 23CK
124-126 | 9AK 10BK 11CK 12CK 14BK 14CK 16CK 15CK 15CK 15CK 18CK 18DK 17CK 16CK 19CK 22DK 15CK 18CK 22DK 21CK
121-123 | 9AK 10AK 10BK 11CK 14BK 13BK 15CK 14CK 14CK 14CK 17CK 17CK 16CK 16CK 18CK 21CK 14BK 16CK 21CK 20CK
118-120 | 8 9AK 9BK 10CK 13AK 12BK 13BK 13CK 13BK 13CK 16CK 15CK 15BK 15CK 17CK 20CK 13BK 15BK 19CK 18CK
115-117 | 7 8 9BK 9BK 12AK 11AK 13BK 12CK 12BK 12BK 15CK 14CK 14BK 14BK 16CK 19CK 12AK 14BK 18CK 17BK
112-114 | 7 8 8AK 9BK 11AK 11AK 12BK 11BK 11BK 11BK 13BK 13CK 14BK 13BK 15BK 18CK 11AK 13BK 17CK 16BK
109-111 | 7 7 8AK 8BK 11 10AK 11AK 10BK 11BK 10BK 12BK 12BK 13BK 13BK 14BK 17BK 10AK 12AK 16BK 14BK
106-108 | 7 7 7AK 7AK 10 9 10AK 9BK 10AK 9BK 11BK 11BK 13AK 12BK 14BK 16BK 9 10AK 15BK 13AK
103-105 | 6 7 6 7AK 9 9 9AK 8AK 9AK 8AK 10BK 10BK 12AK 11AK 13BK 15BK 8 9AK 14BK 12AK
100-102 | 6 6 6 6AK 9 8 8 7AK 8AK 7AK 9AK 9BK 11AK 11AK 12AK 14BK 7 8 13BK 11AK
97-99 | 6 6 5 5AK 8 7 8 6AK 8 6AK 8AK 8BK 11 10AK 11AK 13BK 6 7 12AK 9AK
94-96 | 5 5 5 4 7 7 7 6AK 7 5AK 7AK 7AK 10 9AK 10AK 12AK 5 6 11AK 8
91-93 | 5 5 4 4 7 6 6 5 6 4 6AK 6AK 9 9 9AK 11AK 4 - 10AK -
88-90 | 5 4 4 3 6 5 5 4 5 3 5AK 5AK 9 8 8 10AK - - 9AK -
85-87 | 4 4 3 2 6 5 4 3 5 2 4 3AK 8 7 7 9AK - - 8 -
82-84 | 4 4 3 2 5 4 3 2 4 - 3 2 8 7 6 8 - - - -
79-81 | 4 3 2 1 4 3 2 1 3 - 2 - 7 6 5 7 - - - -
76-78 | 3 3 1 - 4 3 2 - 2 - - - 6 6 5 6 - - - -
73-75 | 3 2 - - 3 2 - - - - - - 6 5 - 5 - - - -
70-72 | 3 2 - - 2 1 - - - - - - 5 4 - 4 - - - -
67-69 | 2 1 - - 2 - - - - - - - 5 - - - - - - -
64-66 | 2 1 - - 1 - - - - - - - 4 - - - - - - -
61-63 | 2 - - - - - - - - - - - - - - - - - - -
58-60 | 1 - - - - - - - - - - - - - - - - - - -
55-57 | 1 - - - - - - - - - - - - - - - - - - -
