# Attack Table — Steel Whip
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Steel Whip
@attack_table:    armory.steel_whip
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 4CK 6CK 8EK 10EK 10EK 10EK 13EK 13EK 9EK 11EK 15EK 16EK 9EK 10EK 15EK 18EK 11EK 14EK 17EK 19EK
145-147 | 4CK 6CK 8EK 10EK 10EK 10EK 13EK 13EK 9EK 11EK 15EK 16EK 9EK 10EK 15EK 18EK 11EK 14EK 17EK 19EK
142-144 | 4CK 6CK 8EK 10EK 10EK 10EK 13EK 13EK 9EK 11EK 15EK 15EK 9EK 10EK 15EK 17EK 11EK 14EK 17EK 19EK
139-141 | 4BK 6BK 8DK 10EK 10DK 10EK 12EK 12EK 9EK 10EK 14EK 15EK 9EK 10EK 14EK 17EK 10EK 13EK 16EK 18EK
136-138 | 4BK 6BK 8DK 9DK 10DK 9DK 12DK 12EK 9DK 10EK 14EK 14EK 9DK 10EK 14EK 16EK 10DK 13DK 16EK 18EK
133-135 | 4AK 6BK 7CK 9DK 9DK 9DK 12DK 12DK 8DK 10DK 13DK 14EK 9DK 9DK 14DK 16DK 10DK 13DK 16DK 17DK
130-132 | 4AK 6BK 7CK 9DK 9DK 9DK 11DK 11DK 8DK 10DK 13DK 14DK 9DK 9DK 13DK 16DK 10DK 12DK 15DK 17DK
127-129 | 4AK 6AK 7CK 9CK 9CK 9CK 11DK 11DK 8DK 9DK 12DK 13DK 8DK 9DK 13DK 15DK 9CK 12DK 15DK 16DK
124-126 | 4 5AK 7BK 8CK 9CK 8CK 11CK 10DK 8CK 9DK 12DK 12DK 8CK 9DK 12DK 14DK 9CK 12CK 15DK 16DK
121-123 | 4 5AK 7BK 8CK 8BK 8CK 10CK 10CK 7CK 8CK 12CK 12DK 8CK 9CK 12DK 14DK 8CK 11CK 14DK 15CK
118-120 | 3 5 6AK 7BK 8BK 7BK 9CK 9CK 7CK 8CK 11CK 11DK 7CK 8CK 11CK 13CK 8CK 10CK 13CK 14CK
115-117 | 3 5 6AK 7BK 7BK 7BK 9BK 9CK 6CK 7CK 10CK 11CK 7CK 8CK 11CK 13CK 7BK 10CK 13CK 14CK
112-114 | 3 4 5AK 7BK 7AK 7BK 9BK 8CK 6BK 7CK 10CK 10CK 7BK 7CK 10CK 12CK 7BK 10BK 13CK 13CK
109-111 | 3 4 5 6AK 7AK 7BK 8BK 8BK 6BK 7BK 9CK 10CK 7BK 7BK 10CK 12CK 7BK 9BK 12CK 13BK
106-108 | 3 4 5 6AK 7AK 6AK 8BK 8BK 6BK 6BK 9BK 9CK 7BK 7BK 10BK 11CK 6AK 9BK 12CK 12BK
103-105 | 3 4 5 6AK 6 6AK 8AK 7BK 5AK 6BK 8BK 9CK 6BK 7BK 9BK 11BK 6AK 9BK 12BK 12BK
100-102 | 3 4 5 5 6 6AK 7AK 7BK 5AK 6BK 8BK 8BK 6AK 7BK 9BK 10BK 6AK 8AK 11BK 11BK
97-99 | 3 4 4 5 6 6 7AK 7BK 5AK 5AK 7BK 8BK 6AK 6BK 9BK 10BK 5AK 8AK 11BK 11AK
94-96 | 3 4 4 5 6 5 7AK 6AK 5AK 5AK 7AK 7BK 6AK 6AK 8BK 9BK 5 8AK 11BK 10AK
