# Attack Table — Three Section Staff
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Three Section Staff
@attack_table:    armory.three_section_staff
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 07
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 11DK 13DK 15EK 17EK 18EK 18EK 21EK 21EK 20EK 22EK 26EK 26EK 28EK 28EK 33EK 36EK 30EK 33EK 36EK 38EK
145-147 | 11DK 13DK 15EK 17EK 18EK 18EK 21EK 21EK 20EK 22EK 26EK 26EK 28EK 28EK 33EK 35EK 29EK 32EK 35EK 37EK
142-144 | 11CK 13CK 15DK 17EK 18DK 18EK 20EK 20EK 19EK 21EK 25EK 25EK 27EK 27EK 32EK 34EK 28EK 31EK 34EK 36EK
139-141 | 11BK 13CK 14DK 16DK 17DK 17DK 20DK 20EK 19DK 20EK 24EK 24EK 26EK 26EK 31EK 33EK 27DK 30EK 33EK 35EK
136-138 | 11AK 12BK 14CK 16DK 17CK 17DK 19DK 19DK 18DK 20DK 23DK 23EK 26DK 25DK 30EK 32EK 26DK 29DK 32EK 33DK
133-135 | 10 12AK 13CK 15DK 16CK 16CK 18DK 18DK 18DK 19DK 22DK 22DK 25DK 25DK 29DK 31DK 25DK 28DK 31DK 32DK
130-132 | 10 12AK 13CK 15CK 16CK 16CK 18CK 18DK 17DK 18DK 22DK 22DK 24DK 24DK 28DK 30DK 24CK 27DK 31DK 31DK
127-129 | 10 11 13BK 14CK 15BK 15BK 17CK 17CK 17CK 18CK 21DK 21DK 23DK 23DK 27DK 29DK 23CK 25CK 29DK 29CK
124-126 | 10 11 12AK 14BK 15AK 15BK 17BK 16CK 16CK 17CK 20CK 20DK 23CK 22CK 26DK 27DK 22CK 24CK 28DK 28CK
121-123 | 9 11 12AK 13BK 14AK 14BK 16BK 16CK 15BK 16CK 19CK 19CK 22CK 22CK 25CK 26DK 21BK 23CK 27CK 27CK
118-120 | 9 10 11 12BK 13AK 13AK 15BK 15BK 14BK 15BK 18CK 18CK 21CK 20CK 23CK 25CK 19BK 21BK 26CK 25CK
115-117 | 8 10 11 12AK 13 13AK 14AK 14BK 14BK 14BK 17BK 17CK 20BK 20CK 22CK 24CK 18BK 20BK 24CK 24BK
112-114 | 8 9 10 11AK 12 12 14AK 13BK 13AK 14BK 16BK 16CK 19BK 19BK 21CK 22CK 17AK 19BK 23CK 23BK
109-111 | 8 9 10 11AK 12 12 13AK 13BK 13AK 13BK 16BK 15BK 19BK 18BK 20BK 21CK 16AK 18AK 22BK 21BK
106-108 | 8 9 9 10 12 11 13 12AK 12AK 12AK 15BK 14BK 18BK 17BK 19BK 20BK 15AK 17AK 21BK 20AK
103-105 | 7 8 9 10 11 11 12 12AK 11 11AK 14AK 13BK 17AK 17BK 19BK 19BK 14 16AK 20BK 19AK
100-102 | 7 8 9 9 11 10 11 11AK 11 11AK 13AK 12BK 16AK 16AK 18BK 18BK 13 14 19BK 17AK
97-99 | 7 8 8 9 10 10 11 10 10 10 12AK 12AK 16AK 15AK 17BK 17BK 12 13 18AK 16AK
94-96 | 7 7 8 8 10 9 10 10 10 9 12AK 11AK 15AK 14AK 16AK 16BK 11 12 17AK 15
91-93 | 6 7 7 8 9 9 10 9 9 9 11 10AK 14 14AK 15AK 15AK 9 11 16AK 14
88-90 | 6 7 7 7 9 8 9 8 9 8 10 9AK 14 13 14AK 13AK 8 10 15AK 12
85-87 | 6 6 7 7 8 8 8 8 8 7 9 8AK 13 12 13AK 12AK 7 9 14 11
82-84 | 6 6 6 6 8 7 8 7 7 6 8 7 12 11 12 11AK 6 8 13 10
79-81 | 5 6 6 6 7 7 7 6 7 6 8 7 11 11 11 10 5 6 12 8
76-78 | 5 5 5 5 7 6 7 6 6 5 7 6 11 10 10 9 4 - 11 -
73-75 | 5 5 5 5 6 6 6 5 6 4 6 5 10 9 9 8 3 - 10 -
70-72 | 5 5 5 5 6 5 5 5 5 4 5 4 9 8 8 7 - - 9 -
67-69 | 5 5 4 4 5 5 5 4 5 3 4 3 9 8 7 6 - - - -
64-66 | 4 4 4 4 5 4 4 3 4 2 4 2 8 7 6 4 - - - -
61-63 | 4 4 3 3 5 4 4 3 4 - 3 - 7 6 5 - - - - -
58-60 | 4 4 3 3 4 3 3 2 3 - 2 - 6 5 4 - - - - -
55-57 | 4 3 3 2 4 3 2 1 2 - - - 6 5 - - - - - -
52-54 | 3 3 2 2 3 2 2 - - - - - 5 - - - - - - -
49-51 | 3 3 2 1 3 2 1 - - - - - 4 - - - - - - -
46-48 | 3 2 1 - 2 1 - - - - - - - - - - - - - -
43-45 | 3 2 1 - 2 1 - - - - - - - - - - - - - -
40-42 | 2 2 - - 1 - - - - - - - - - - - - - - -
37-39 | 2 1 - - - - - - - - - - - - - - - - - -
34-36 | 2 1 - - - - - - - - - - - - - - - - - -
31-33 | 2 - - - - - - - - - - - - - - - - - - -
28-30 | 1 - - - - - - - - - - - - - - - - - - -
25-27 | 1 - - - - - - - - - - - - - - - - - - -
