# Attack Table — Tiger Claw
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Tiger Claw
@attack_table:    armory.tiger_claw
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 02
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 3CS 4CS 6DS 8ES 7DS 7DS 10ES 10ES 10ES 12ES 16ES 16ES 15ES 15ES 20ES 23ES 17ES 20ES 23ES 25ES
145-147 | 3CS 4CS 6DS 8ES 7DS 7DS 10ES 10ES 10ES 12ES 16ES 16ES 15ES 15ES 20ES 23ES 17ES 20ES 23ES 25ES
142-144 | 3BS 4CS 6DS 8ES 7DS 7DS 10ES 10ES 10ES 12ES 15ES 15ES 15ES 15ES 19ES 22ES 16ES 19ES 22ES 24ES
139-141 | 3BS 4BS 6CS 8DS 7CS 7DS 10DS 10ES 10DS 11ES 15ES 15ES 14ES 14ES 19ES 21ES 16ES 19ES 22ES 23ES
136-138 | 3AS 4BS 6CS 8DS 7CS 7CS 9DS 9DS 9DS 11DS 14DS 14ES 14ES 14ES 18ES 21ES 15DS 18ES 21ES 23ES
133-135 | 3AS 4AS 6BS 7DS 7CS 7CS 9DS 9DS 9DS 11DS 14DS 14DS 14DS 14DS 18DS 20ES 15DS 18DS 21ES 22DS
130-132 | 3 4AS 6BS 7CS 7CS 6CS 9DS 9DS 9DS 10DS 14DS 13DS 14DS 13DS 17DS 20DS 14DS 17DS 20DS 22DS
127-129 | 3 4 5BS 7CS 6BS 6BS 9CS 8DS 9CS 10CS 13DS 13DS 13DS 13DS 17DS 19DS 14DS 17DS 20DS 21DS
124-126 | 3 4 5AS 7BS 6BS 6BS 8CS 8CS 8CS 9CS 12CS 12DS 13DS 13DS 16DS 18DS 13CS 16DS 19DS 20DS
121-123 | 3 4 5AS 7BS 6AS 6BS 8BS 8CS 8BS 9CS 12CS 12CS 12CS 12DS 16DS 17DS 13CS 15CS 19DS 19DS
118-120 | 2 3 5AS 6BS 5AS 5AS 7BS 7CS 7BS 8BS 11CS 11CS 12CS 11CS 15CS 16DS 12CS 14CS 18DS 18CS
115-117 | 2 3 4 6AS 5AS 5AS 7BS 7BS 7BS 8BS 11BS 10CS 11CS 11CS 14CS 16CS 11CS 14CS 17CS 18CS
112-114 | 2 3 4 5AS 5 5AS 7AS 6BS 7AS 7BS 10BS 10CS 11CS 11CS 14CS 15CS 11BS 13CS 17CS 17CS
109-111 | 2 3 4 5AS 5 5AS 6AS 6BS 6AS 7BS 10BS 9BS 11BS 10CS 13CS 14CS 10BS 13BS 16CS 16CS
106-108 | 2 3 4 5 5 4 6AS 6BS 6AS 7AS 9BS 9BS 10BS 10BS 12CS 14CS 10BS 12BS 16CS 16BS
103-105 | 2 3 4 5 4 4 6AS 6AS 6AS 6AS 9AS 8BS 10BS 10BS 12BS 13CS 9BS 12BS 15CS 15BS
100-102 | 2 3 4 4 4 4 5 5AS 5 6AS 8AS 8BS 10BS 9BS 11BS 12BS 9AS 11BS 14BS 14BS
97-99 | 2 3 3 4 4 4 5 5AS 5 5 8AS 7BS 9BS 9BS 11BS 12BS 8AS 10BS 14BS 14BS
94-96 | 2 3 3 4 4 4 5 5AS 5 5 7AS 6AS 9AS 9BS 10BS 11BS 7AS 10AS 13BS 13BS
91-93 | 2 2 3 4 4 4 5 4 5 5 7 6AS 8AS 8AS 10BS 10BS 7AS 9AS 13BS 12AS
88-90 | 2 2 3 4 4 3 4 4 4 4 6 5AS 8AS 8AS 9AS 10BS 6AS 9AS 12BS 12AS
85-87 | 2 2 3 3 3 3 4 4 4 4 6 5AS 8AS 7AS 9AS 9AS 6 8AS 12AS 11AS
82-84 | 2 2 3 3 3 3 4 3 4 3 5 4 7 7AS 8AS 8AS 5 8 11AS 10AS
79-81 | 2 2 3 3 3 3 3 3 3 3 5 4 7 7 8AS 8AS 5 7 11AS 9AS
76-78 | 2 2 2 3 3 3 3 3 3 3 4 3 7 6 7AS 7AS 4 7 10AS 9
73-75 | 2 2 2 2 3 3 3 3 3 2 4 3 6 6 7 6AS 4 6 10AS 8
70-72 | 2 2 2 2 3 2 3 2 3 2 3 2 6 6 6 6AS 3 5 9AS 7
67-69 | 2 2 2 2 2 2 2 2 2 2 3 2 6 5 6 5 3 - 9 -
64-66 | 2 2 2 2 2 2 2 2 2 1 2 1 5 5 5 4 2 - 8 -
61-63 | 2 2 2 2 2 2 2 1 2 - 2 - 5 5 4 4 - - 8 -
58-60 | 1 2 2 1 2 2 1 1 1 - 1 - 5 4 4 3 - - 7 -
55-57 | 1 1 1 1 2 1 1 - 1 - - - 4 4 3 - - - - -
52-54 | 1 1 1 - 2 1 - - - - - - 4 3 - - - - - -
49-51 | 1 1 1 - 1 1 - - - - - - 4 3 - - - - - -
46-48 | 1 1 - - 1 - - - - - - - 3 - - - - - - -
43-45 | 1 1 - - 1 - - - - - - - 3 - - - - - - -
40-42 | 1 1 - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
