# Attack Table — Tiger Hook
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Tiger Hook
@attack_table:    armory.tiger_hook
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 05
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 4CS 5CS 7ES 9ES 8ES 8ES 11ES 11ES 11ES 13ES 14ES 14ES 16ES 16ES 21ES 24ES 18ES 21ES 24ES 26ES
145-147 | 4CS 5CS 7ES 9ES 8ES 8ES 11ES 11ES 11ES 13ES 14ES 14ES 16ES 16ES 21ES 24ES 18ES 21ES 24ES 26ES
142-144 | 4BS 5BS 7DS 9ES 8DS 8DS 11ES 11ES 11ES 13ES 14ES 13ES 16ES 16ES 20ES 23ES 17ES 20ES 23ES 25ES
139-141 | 4BS 5BS 7DS 9DS 8DS 8DS 10DS 10DS 10DS 12ES 13ES 13ES 15ES 15ES 20ES 22ES 16DS 19ES 22ES 24ES
136-138 | 4AS 5AS 7CS 8DS 7CS 8CS 10DS 10DS 10DS 12DS 13DS 12DS 15DS 15DS 19ES 21ES 16DS 18DS 22ES 23DS
133-135 | 4 5AS 6CS 8CS 7CS 7CS 10CS 10DS 10DS 11DS 12DS 12DS 14DS 14DS 18DS 20DS 15DS 18DS 21DS 22DS
130-132 | 4 5AS 6BS 8CS 7BS 7CS 9CS 9DS 10DS 11DS 12DS 12DS 14DS 14DS 18DS 20DS 15CS 17DS 21DS 21DS
127-129 | 4 5 6BS 8CS 7AS 7BS 9BS 9CS 9CS 10CS 11DS 11DS 14CS 14DS 17DS 19DS 14CS 16CS 20DS 20CS
124-126 | 4 5 6AS 7BS 6AS 7AS 9BS 8CS 9CS 10CS 11CS 10CS 13CS 13CS 16DS 18DS 13CS 15CS 19DS 19CS
121-123 | 4 4 6AS 7BS 6 6AS 8BS 8BS 8BS 9CS 10CS 10CS 13CS 13CS 16CS 17CS 12BS 15CS 18CS 18CS
118-120 | 3 4 5 6AS 5 6AS 7AS 7BS 8BS 8BS 9CS 9CS 12CS 12CS 15CS 16CS 11BS 14BS 17CS 17CS
115-117 | 3 4 5 6AS 5 5 7AS 7BS 7BS 8BS 9BS 8CS 12BS 11CS 14CS 15CS 10BS 13BS 16CS 16BS
112-114 | 3 4 5 6AS 5 5 7 7AS 7AS 7BS 8BS 8BS 11BS 11BS 13CS 14CS 10AS 12BS 16CS 15BS
109-111 | 3 3 4 5 4 5 6 6AS 7AS 7AS 8BS 7BS 11BS 10BS 13BS 14CS 9AS 11AS 15BS 14BS
106-108 | 3 3 4 5 4 5 6 6AS 6AS 6AS 7BS 7BS 10AS 10BS 12BS 13BS 8AS 11AS 14BS 13AS
103-105 | 3 3 4 5 4 5 6 5AS 6 6AS 7AS 6BS 10AS 10AS 11BS 12BS 8 10AS 14BS 13AS
100-102 | 3 3 4 4 4 4 5 5 6 5AS 6AS 6AS 10AS 9AS 11BS 11BS 7 9 13BS 12AS
97-99 | 3 3 4 4 3 4 5 5 5 5 6AS 5AS 9AS 9AS 10AS 10BS 6 8 12AS 11AS
94-96 | 3 3 3 4 3 4 5 4 5 5 5 5AS 9 8AS 10AS 10AS 6 8 12AS 10
91-93 | 2 3 3 4 3 4 4 4 5 4 5 4AS 8 8 9AS 9AS 5 7 11AS 9
88-90 | 2 3 3 3 2 3 4 4 4 4 4 4 8 8 8AS 8AS 4 6 10AS 8
85-87 | 2 2 3 3 2 3 4 3 4 3 4 3 8 7 8 7AS 3 - 10 -
82-84 | 2 2 3 3 2 3 3 3 4 3 3 3 7 7 7 6AS - - 9 -
79-81 | 2 2 2 3 2 3 3 2 3 2 3 2 7 6 6 6 - - 8 -
76-78 | 2 2 2 2 1 2 3 2 3 - 2 - 6 6 6 5 - - - -
73-75 | 2 2 2 2 1 2 2 2 3 - 2 - 6 5 5 4 - - - -
70-72 | 2 2 2 2 - 2 2 1 2 - - - 6 5 4 - - - - -
67-69 | 2 2 2 1 - 2 1 - - - - - 5 5 - - - - - -
64-66 | 2 2 1 1 - 1 1 - - - - - 5 4 - - - - - -
61-63 | 2 2 1 - - 1 - - - - - - 4 - - - - - - -
58-60 | 2 1 1 - - 1 - - - - - - 4 - - - - - - -
55-57 | 1 1 - - - - - - - - - - - - - - - - - -
52-54 | 1 1 - - - - - - - - - - - - - - - - - -
49-51 | 1 1 - - - - - - - - - - - - - - - - - -
46-48 | 1 - - - - - - - - - - - - - - - - - - -
43-45 | 1 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
