# Attack Table — Trident
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Trident
@attack_table:    armory.trident
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 06
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 9EP 11EP 13EP 15EP 20EP 20EP 23EP 23EP 21EP 23EP 27EP 27EP 21EP 21EP 26EP 29EP 23EP 26EP 29EP 31EP
145-147 | 9EP 11EP 13EP 15EP 20EP 20EP 23EP 23EP 21EP 23EP 27EP 26EP 21EP 21EP 26EP 29EP 23EP 26EP 29EP 30EP
142-144 | 9DP 11DP 13EP 15EP 19EP 19EP 22EP 22EP 20EP 22EP 26EP 25EP 20EP 20EP 25EP 28EP 22EP 25EP 28EP 29EP
139-141 | 9CP 11DP 12DP 14DP 19DP 19EP 21EP 21EP 19EP 21EP 25EP 24EP 20EP 20EP 24EP 27EP 21EP 24EP 27EP 28EP
136-138 | 9BP 10CP 12DP 14DP 18DP 18DP 21DP 20EP 19DP 20DP 24EP 23EP 19DP 19EP 23EP 26EP 20DP 23DP 26EP 27DP
133-135 | 8BP 10BP 12CP 13DP 18DP 18DP 20DP 20DP 18DP 19DP 23DP 22DP 19DP 19DP 23DP 25DP 19DP 22DP 25DP 26DP
130-132 | 8AP 10BP 11CP 13DP 17CP 17DP 19DP 19DP 18DP 19DP 22DP 22DP 18DP 18DP 22DP 24DP 19DP 21DP 25DP 25DP
127-129 | 8 10AP 11BP 12CP 17CP 16CP 19CP 18DP 17DP 18DP 21DP 20DP 18DP 17DP 21DP 23DP 17CP 20DP 24DP 24DP
124-126 | 8 9AP 11BP 12CP 16CP 16CP 18CP 17DP 16CP 17CP 20DP 19DP 17CP 17DP 20DP 22DP 17CP 19CP 23DP 23CP
121-123 | 8 9 10BP 11BP 16BP 15CP 17CP 17CP 15CP 16CP 19CP 18DP 17CP 16CP 19DP 21DP 16CP 18CP 22DP 22CP
118-120 | 7 8 9AP 10BP 14BP 14BP 16CP 16CP 14CP 15CP 18CP 17CP 16CP 15CP 18CP 19CP 14CP 17CP 21CP 20CP
115-117 | 7 8 9AP 10BP 14AP 14BP 15BP 15CP 14BP 14CP 17CP 16CP 15CP 15CP 17CP 18CP 14BP 16CP 20CP 19CP
112-114 | 7 8 9 10AP 13AP 13BP 14BP 14CP 13BP 13BP 16CP 15CP 14BP 14CP 16CP 17CP 13BP 15BP 19CP 18BP
109-111 | 6 7 8 9AP 13AP 12AP 14BP 13BP 12BP 12BP 15BP 14CP 14BP 13BP 16CP 17CP 12BP 14BP 18CP 17BP
106-108 | 6 7 8 9AP 12 12AP 13AP 13BP 12BP 11BP 14BP 13CP 13BP 13BP 15BP 16CP 11AP 13BP 17BP 16BP
103-105 | 6 7 7 8 12 11AP 12AP 12BP 11AP 10BP 13BP 12BP 13BP 12BP 14BP 15BP 10AP 12AP 16BP 15BP
100-102 | 6 7 7 8 11 11 12AP 11BP 10AP 10AP 12BP 11BP 12AP 12BP 13BP 14BP 9AP 11AP 16BP 14AP
97-99 | 6 6 7 7 11 10 11AP 10AP 10AP 9AP 11AP 10BP 12AP 11BP 12BP 13BP 8AP 10AP 15BP 13AP
94-96 | 5 6 6 7 10 10 10 10AP 9 8AP 10AP 9BP 11AP 11AP 12BP 12BP 8 9AP 14BP 12AP
91-93 | 5 6 6 6 9 9 10 9AP 8 7AP 9AP 8BP 11AP 10AP 11AP 11BP 7 8 13AP 11AP
88-90 | 5 5 6 6 9 8 9 8AP 8 6 8AP 7AP 10AP 9AP 10AP 10AP 6 8 12AP 10AP
85-87 | 5 5 5 5 8 8 8 7 7 5 7AP 6AP 9 9AP 9AP 9AP 5 7 11AP 9
82-84 | 4 5 5 5 8 7 7 7 6 5 6 5AP 9 8 9AP 8AP 4 - 11AP -
79-81 | 4 5 4 5 7 7 7 6 6 4 5 4AP 8 8 8AP 7AP 3 - 10AP -
76-78 | 4 4 4 4 7 6 6 5 5 3 5 3AP 8 7 7 6AP - - 9 -
73-75 | 4 4 4 4 6 5 5 4 4 2 4 2 7 7 6 5 - - 8 -
70-72 | 4 4 3 3 6 5 5 4 4 - 3 - 7 6 5 4 - - - -
67-69 | 3 3 3 3 5 4 4 3 3 - - - 6 5 5 - - - - -
64-66 | 3 3 3 2 5 4 3 2 2 - - - 6 5 - - - - - -
61-63 | 3 3 2 2 4 3 2 1 - - - - 5 4 - - - - - -
58-60 | 3 3 2 1 3 3 2 - - - - - 5 - - - - - - -
55-57 | 3 2 1 - 3 2 1 - - - - - 4 - - - - - - -
52-54 | 2 2 1 - 2 1 - - - - - - - - - - - - - -
49-51 | 2 2 - - 2 - - - - - - - - - - - - - - -
46-48 | 2 1 - - 1 - - - - - - - - - - - - - - -
43-45 | 2 1 - - - - - - - - - - - - - - - - - -
40-42 | 2 - - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
31-33 | 1 - - - - - - - - - - - - - - - - - - -
