# Attack Table — Wakazashi
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            Wakazashi
@attack_table:    armory.wakazashi
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 02
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 4DS 4DS 5ES 10ES 8ES 8ES 11ES 11ES 13ES 15ES 19ES 19ES 17ES 17ES 22ES 25ES 20ES 22ES 25ES 27ES
145-147 | 4DS 4DS 5ES 10ES 8ES 8ES 11ES 11ES 13ES 15ES 19ES 19ES 17ES 17ES 22ES 25ES 20ES 22ES 25ES 27ES
142-144 | 4CS 4CS 5ES 10ES 8ES 8ES 11ES 11ES 13ES 15ES 18ES 18ES 17ES 17ES 21ES 24ES 19ES 21ES 24ES 26ES
139-141 | 4BS 4CS 5DS 10DS 8DS 8DS 11DS 10ES 12ES 14ES 18ES 18ES 16ES 16ES 21ES 23ES 19ES 21ES 24ES 25ES
136-138 | 4AS 4BS 5DS 9DS 8DS 8DS 10DS 10DS 12DS 14DS 17ES 17ES 16ES 16ES 20ES 23ES 18DS 20ES 23ES 25ES
133-135 | 4AS 4BS 5CS 9DS 7CS 7CS 10DS 10DS 12DS 13DS 17DS 16DS 16DS 16DS 20ES 22ES 17DS 19DS 23ES 24DS
130-132 | 4 4AS 5CS 9CS 7CS 7CS 10DS 10DS 11DS 13DS 16DS 16DS 15DS 15DS 19DS 22DS 17DS 19DS 22DS 23DS
127-129 | 4 4AS 5BS 9CS 7BS 7CS 9CS 9DS 11CS 12DS 15DS 15DS 15DS 15DS 19DS 21DS 16DS 18DS 21DS 22DS
124-126 | 4 4 5BS 8CS 7BS 7BS 9CS 9CS 11CS 12CS 15DS 15DS 15DS 14DS 18DS 20DS 16CS 18DS 21DS 22DS
121-123 | 4 4 4AS 8BS 7AS 7BS 9BS 8CS 10CS 11CS 14CS 14DS 14CS 14DS 17DS 19DS 15CS 17CS 20DS 21DS
118-120 | 3 3 4AS 7BS 6AS 6AS 8BS 8CS 9BS 10CS 13CS 13CS 13CS 13CS 16DS 18DS 14CS 16CS 19DS 20CS
115-117 | 3 3 4 7BS 6 6AS 8BS 7BS 9BS 10CS 13CS 12CS 13CS 13CS 16CS 17CS 13CS 15CS 19CS 19CS
112-114 | 3 3 4 7AS 6 5AS 7AS 7BS 9BS 9BS 12CS 12CS 13CS 12CS 15CS 17CS 13BS 15CS 18CS 18CS
109-111 | 3 3 3 6AS 5 5 7AS 7BS 8BS 9BS 11BS 11CS 12BS 12CS 15CS 16CS 12BS 14BS 17CS 17CS
106-108 | 3 3 3 6AS 5 5 7AS 6BS 8AS 8BS 11BS 10CS 12BS 12BS 14CS 15CS 11BS 13BS 17CS 17BS
103-105 | 3 3 3 6 5 5 6 6AS 8AS 8AS 10BS 10BS 11BS 11BS 13CS 15CS 11BS 13BS 16CS 16BS
100-102 | 3 3 3 5 5 5 6 6AS 7AS 7AS 10BS 9BS 11BS 11BS 13BS 14CS 10AS 12BS 16BS 15BS
97-99 | 3 3 3 5 5 4 6 5AS 7 7AS 9AS 8BS 11AS 10BS 12BS 13BS 9AS 11BS 15BS 14BS
94-96 | 3 3 3 5 4 4 5 5AS 7 6AS 8AS 8BS 10AS 10BS 12BS 12BS 9AS 11AS 14BS 14BS
91-93 | 3 2 3 5 4 4 5 5 6 6 8AS 7BS 10AS 10AS 11BS 12BS 8AS 10AS 14BS 13AS
88-90 | 3 2 3 4 4 4 5 4 6 5 7AS 7AS 10AS 9AS 11BS 11BS 8 10AS 13BS 12AS
85-87 | 2 2 2 4 4 4 4 4 5 5 7 6AS 9AS 9AS 10AS 10BS 7 9AS 13BS 11AS
82-84 | 2 2 2 4 4 3 4 4 5 5 6 5AS 9 8AS 9AS 10AS 6 8 12AS 11AS
79-81 | 2 2 2 3 3 3 4 3 5 4 6 5AS 8 8AS 9AS 9AS 6 8 12AS 10AS
76-78 | 2 2 2 3 3 3 3 3 4 4 5 4AS 8 8 8AS 8AS 5 7 11AS 9
73-75 | 2 2 2 3 3 3 3 3 4 3 4 3 8 7 8AS 8AS 4 6 10AS 8
70-72 | 2 2 2 3 3 3 3 2 4 3 4 3 7 7 7 7AS 4 - 10AS -
67-69 | 2 2 2 2 3 2 2 2 3 2 3 2 7 6 7 6AS 3 - 9 -
64-66 | 2 2 2 2 2 2 2 2 3 - 3 - 7 6 6 5 - - 9 -
61-63 | 2 2 2 2 2 2 2 1 3 - 2 - 6 6 6 5 - - 8 -
58-60 | 2 2 1 1 2 2 2 1 2 - - - 6 5 5 4 - - - -
55-57 | 2 1 1 1 2 1 1 - - - - - 5 5 4 - - - - -
52-54 | 2 1 1 - 2 1 - - - - - - 5 5 - - - - - -
49-51 | 2 1 1 - 1 1 - - - - - - 5 4 - - - - - -
46-48 | 1 1 - - 1 - - - - - - - 4 - - - - - - -
43-45 | 1 1 - - 1 - - - - - - - 4 - - - - - - -
40-42 | 1 1 - - - - - - - - - - - - - - - - - -
37-39 | 1 - - - - - - - - - - - - - - - - - - -
34-36 | 1 - - - - - - - - - - - - - - - - - - -
31-33 | 1 - - - - - - - - - - - - - - - - - - -
28-30 | 1 - - - - - - - - - - - - - - - - - - -
