# Attack Table — War Fan
# Source: Rolemaster Fantasy Roleplaying — The Armory (ERA: armory)
# Auto-generated by .scratch/build_attack_tables.py from the .era archive.
# Curated metadata (length / weight / breakage / strength /
# range modifiers) is not present in the ERA source; fill these
# in by hand if you want them surfaced in the SPA.
#
# --- weapon metadata ---
@name:            War Fan
@attack_table:    armory.war_fan
@two_handed:      no
@length_ft:       -
@weight_lb:       -
@fumble_range:    01 - 03
@breakage_nums:   -
@strength:        -
@range_modifiers: -
#
# --- chart ---
# Each row: <roll> | <AT20> <AT19> ... <AT1>     (20 cells, space-separated)
#
148-150 | 4CK 6CK 8EK 10EK 11EK 11EK 14EK 14EK 9EK 11EK 15EK 15EK 9EK 9EK 14EK 17EK 10EK 13EK 16EK 18EK
145-147 | 4CK 6CK 8EK 10EK 11EK 11EK 14EK 14EK 9EK 11EK 15EK 15EK 9EK 9EK 14EK 17EK 10EK 13EK 16EK 18EK
142-144 | 4BK 6BK 8DK 10EK 11DK 11DK 14EK 14EK 9EK 11EK 14EK 14EK 9EK 9EK 14EK 16EK 10EK 13EK 16EK 17EK
139-141 | 4AK 6BK 8DK 10DK 11DK 10DK 13DK 13DK 9DK 10EK 14EK 14EK 9EK 9EK 13EK 16EK 9DK 12EK 15EK 17EK
136-138 | 4 6AK 8CK 9DK 10CK 10CK 13DK 13DK 8DK 10DK 13DK 13DK 9DK 9DK 13DK 15EK 9DK 12DK 15DK 16DK
133-135 | 4 6AK 7CK 9CK 10BK 10CK 12CK 12DK 8DK 9DK 13DK 12DK 8DK 8DK 12DK 15DK 9DK 11DK 15DK 16DK
130-132 | 4 6 7BK 9CK 10BK 10CK 12CK 12DK 8CK 9DK 12DK 12DK 8DK 8DK 12DK 14DK 8CK 11DK 14DK 15DK
127-129 | 4 5 7AK 8CK 9AK 9BK 11BK 11CK 7CK 8CK 12CK 11DK 8CK 8DK 12DK 14DK 8CK 11CK 14DK 15CK
124-126 | 4 5 7AK 8BK 9AK 9AK 11BK 11CK 7CK 8CK 11CK 11CK 8CK 8CK 11CK 13DK 8CK 10CK 13CK 14CK
121-123 | 4 5 6 8BK 9 8AK 10BK 10BK 7BK 8CK 10CK 10CK 8CK 8CK 11CK 12CK 7BK 10CK 13CK 14CK
118-120 | 3 5 6 7AK 8 8 9AK 9BK 6BK 7BK 9CK 9CK 7BK 7CK 10CK 11CK 6BK 9BK 12CK 13BK
115-117 | 3 4 5 7AK 8 7 9AK 9BK 6BK 6BK 9BK 8CK 7BK 7BK 9CK 11CK 6AK 9BK 12CK 12BK
112-114 | 3 4 5 6AK 7 7 8 8AK 5AK 6BK 8BK 8BK 7BK 6BK 9BK 10CK 6AK 8BK 11BK 11BK
109-111 | 3 4 5 6 7 7 8 8AK 5AK 5AK 8BK 7BK 6BK 6BK 9BK 10BK 5AK 8AK 11BK 11BK
106-108 | 3 4 5 6 7 6 8 7AK 5AK 5AK 7AK 7BK 6AK 6BK 8BK 9BK 5 7AK 11BK 10AK
103-105 | 3 4 5 5 6 6 7 7 5 5AK 7AK 6BK 6AK 6AK 8BK 9BK 4 7AK 10BK 10AK
100-102 | 3 4 4 5 6 6 7 6 4 4 6AK 5AK 6AK 6AK 7AK 8BK 4 7 10AK 9AK
97-99 | 3 3 4 5 6 5 6 6 4 4 5AK 5AK 6 5AK 7AK 7BK 4 6 9AK 9
94-96 | 3 3 4 4 5 5 6 5 4 3 5 4AK 5 5AK 7AK 7AK 3 6 9AK 8
91-93 | 2 3 4 4 5 5 5 5 3 3 4 4AK 5 5 6AK 6AK 3 5 9AK 8
88-90 | 2 3 3 4 5 4 5 4 3 2 4 3 5 5 6AK 6AK 3 5 8AK 7
85-87 | 2 3 3 3 4 4 4 4 3 2 3 2 5 5 5 5AK 2 - 8 -
82-84 | 2 3 3 3 4 4 4 3 2 2 3 2 5 4 5 5 - - 8 -
79-81 | 2 3 3 3 4 3 3 3 2 1 2 1 4 4 5 4 - - 7 -
76-78 | 2 2 2 2 3 3 3 2 2 - 2 - 4 4 4 4 - - - -
73-75 | 2 2 2 2 3 3 3 2 2 - 1 - 4 4 4 3 - - - -
70-72 | 2 2 2 2 3 2 2 1 1 - - - 4 3 3 - - - - -
67-69 | 2 2 2 1 2 2 2 - - - - - 4 3 - - - - - -
64-66 | 2 2 1 1 2 2 1 - - - - - 3 3 - - - - - -
61-63 | 2 2 1 - 2 1 - - - - - - 3 - - - - - - -
58-60 | 2 2 1 - 2 1 - - - - - - 3 - - - - - - -
55-57 | 1 1 - - 1 - - - - - - - - - - - - - - -
52-54 | 1 1 - - - - - - - - - - - - - - - - - -
49-51 | 1 1 - - - - - - - - - - - - - - - - - -
46-48 | 1 - - - - - - - - - - - - - - - - - - -
43-45 | 1 - - - - - - - - - - - - - - - - - - -
40-42 | 1 - - - - - - - - - - - - - - - - - - -
